0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Ample, ACS, combine: 1
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, ArithmeticMean, jGenProg, combine: 19
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, ArithmeticMean, jKali, combine: 20
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, ArithmeticMean, jMutRepair, combine: 21
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, BaroniUrbaniBuser, ACS, combine: 22
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, BaroniUrbaniBuser, Nopol, combine: 23
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, BaroniUrbaniBuser, SimFix, combine: 24
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, BaroniUrbaniBuser, TBar, combine: 25
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, BaroniUrbaniBuser, jGenProg, combine: 26
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, BaroniUrbaniBuser, jKali, combine: 27
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, BaroniUrbaniBuser, jMutRepair, combine: 28
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, BraunBanqust, ACS, combine: 29
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, BraunBanqust, Nopol, combine: 30
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, BraunBanqust, SimFix, combine: 31
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, BraunBanqust, TBar, combine: 32
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, BraunBanqust, jGenProg, combine: 33
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, BraunBanqust, jKali, combine: 34
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, BraunBanqust, jMutRepair, combine: 35
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Cohen, ACS, combine: 36
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Cohen, Nopol, combine: 37
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Cohen, SimFix, combine: 38
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Cohen, TBar, combine: 39
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Cohen, jGenProg, combine: 40
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Cohen, jKali, combine: 41
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Cohen, jMutRepair, combine: 42
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Dennis, ACS, combine: 43
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Dennis, Nopol, combine: 44
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Dennis, SimFix, combine: 45
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Dennis, TBar, combine: 46
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Dennis, jGenProg, combine: 47
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Dennis, jKali, combine: 48
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Dennis, jMutRepair, combine: 49
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Dice, ACS, combine: 50
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Dice, Nopol, combine: 51
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Dice, SimFix, combine: 52
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Dice, TBar, combine: 53
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Dice, jGenProg, combine: 54
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Dice, jKali, combine: 55
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Dice, jMutRepair, combine: 56
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Dstar, ACS, combine: 57
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Dstar, Nopol, combine: 58
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Dstar, SimFix, combine: 59
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Dstar, TBar, combine: 60
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Dstar, jGenProg, combine: 61
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Dstar, jKali, combine: 62
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Dstar, jMutRepair, combine: 63
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Euclid, ACS, combine: 64
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Euclid, Nopol, combine: 65
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Euclid, SimFix, combine: 66
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Euclid, TBar, combine: 67
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Euclid, jGenProg, combine: 68
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Euclid, jKali, combine: 69
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Euclid, jMutRepair, combine: 70
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Fleiss, ACS, combine: 71
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Fleiss, Nopol, combine: 72
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Fleiss, SimFix, combine: 73
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Fleiss, TBar, combine: 74
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Fleiss, jGenProg, combine: 75
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Fleiss, jKali, combine: 76
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Fleiss, jMutRepair, combine: 77
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Fossum, ACS, combine: 78
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Fossum, Nopol, combine: 79
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Fossum, SimFix, combine: 80
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Fossum, TBar, combine: 81
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Fossum, jGenProg, combine: 82
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Fossum, jKali, combine: 83
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Fossum, jMutRepair, combine: 84
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Goodman, ACS, combine: 85
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Goodman, Nopol, combine: 86
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Goodman, SimFix, combine: 87
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Goodman, TBar, combine: 88
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Goodman, jGenProg, combine: 89
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Goodman, jKali, combine: 90
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Goodman, jMutRepair, combine: 91
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Gower, ACS, combine: 92
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Gower, Nopol, combine: 93
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Gower, SimFix, combine: 94
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Gower, TBar, combine: 95
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Gower, jGenProg, combine: 96
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Gower, jKali, combine: 97
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Gower, jMutRepair, combine: 98
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, GP13, ACS, combine: 99
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, GP13, Nopol, combine: 100
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, GP13, SimFix, combine: 101
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, GP13, TBar, combine: 102
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, GP13, jGenProg, combine: 103
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, GP13, jKali, combine: 104
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, GP13, jMutRepair, combine: 105
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Hamann, ACS, combine: 106
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Hamann, Nopol, combine: 107
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Hamann, SimFix, combine: 108
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Hamann, TBar, combine: 109
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Hamann, jGenProg, combine: 110
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Hamann, jKali, combine: 111
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Hamann, jMutRepair, combine: 112
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Hamming, ACS, combine: 113
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Hamming, Nopol, combine: 114
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Hamming, SimFix, combine: 115
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Hamming, TBar, combine: 116
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Hamming, jGenProg, combine: 117
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Hamming, jKali, combine: 118
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Hamming, jMutRepair, combine: 119
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, HarmonicMean, ACS, combine: 120
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, HarmonicMean, Nopol, combine: 121
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, HarmonicMean, SimFix, combine: 122
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, HarmonicMean, TBar, combine: 123
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, HarmonicMean, jGenProg, combine: 124
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, HarmonicMean, jKali, combine: 125
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, HarmonicMean, jMutRepair, combine: 126
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Jaccard, ACS, combine: 127
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Jaccard, Nopol, combine: 128
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Jaccard, SimFix, combine: 129
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Jaccard, TBar, combine: 130
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Jaccard, jGenProg, combine: 131
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Jaccard, jKali, combine: 132
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Jaccard, jMutRepair, combine: 133
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Kulczynski1, ACS, combine: 134
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Kulczynski1, Nopol, combine: 135
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Kulczynski1, SimFix, combine: 136
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Kulczynski1, TBar, combine: 137
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Kulczynski1, jGenProg, combine: 138
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Kulczynski1, jKali, combine: 139
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Kulczynski1, jMutRepair, combine: 140
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Kulczynskil2, ACS, combine: 141
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Kulczynskil2, Nopol, combine: 142
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Kulczynskil2, SimFix, combine: 143
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Kulczynskil2, TBar, combine: 144
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Kulczynskil2, jGenProg, combine: 145
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Kulczynskil2, jKali, combine: 146
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Kulczynskil2, jMutRepair, combine: 147
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, M1, ACS, combine: 148
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, M1, Nopol, combine: 149
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, M1, SimFix, combine: 150
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, M1, TBar, combine: 151
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, M1, jGenProg, combine: 152
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, M1, jKali, combine: 153
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, M1, jMutRepair, combine: 154
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, M2, ACS, combine: 155
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, M2, Nopol, combine: 156
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, M2, SimFix, combine: 157
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, M2, TBar, combine: 158
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, M2, jGenProg, combine: 159
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, M2, jKali, combine: 160
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, M2, jMutRepair, combine: 161
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Michael, ACS, combine: 162
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Michael, Nopol, combine: 163
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Michael, SimFix, combine: 164
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Michael, TBar, combine: 165
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Michael, jGenProg, combine: 166
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Michael, jKali, combine: 167
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Michael, jMutRepair, combine: 168
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Mountford, ACS, combine: 169
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Mountford, Nopol, combine: 170
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Mountford, SimFix, combine: 171
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Mountford, TBar, combine: 172
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Mountford, jGenProg, combine: 173
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Mountford, jKali, combine: 174
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Mountford, jMutRepair, combine: 175
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Ochiai, ACS, combine: 176
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Ochiai, Nopol, combine: 177
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Ochiai, SimFix, combine: 178
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Ochiai, TBar, combine: 179
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Ochiai, jGenProg, combine: 180
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Ochiai, jKali, combine: 181
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Ochiai, jMutRepair, combine: 182
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Ochiai2, ACS, combine: 183
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Ochiai2, Nopol, combine: 184
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Ochiai2, SimFix, combine: 185
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Ochiai2, TBar, combine: 186
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Ochiai2, jGenProg, combine: 187
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Ochiai2, jKali, combine: 188
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Ochiai2, jMutRepair, combine: 189
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Optimal, ACS, combine: 190
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Optimal, Nopol, combine: 191
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Optimal, SimFix, combine: 192
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Optimal, TBar, combine: 193
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Optimal, jGenProg, combine: 194
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Optimal, jKali, combine: 195
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Optimal, jMutRepair, combine: 196
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, OptimalP, ACS, combine: 197
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, OptimalP, Nopol, combine: 198
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, OptimalP, SimFix, combine: 199
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, OptimalP, TBar, combine: 200
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, OptimalP, jGenProg, combine: 201
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, OptimalP, jKali, combine: 202
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, OptimalP, jMutRepair, combine: 203
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Overlap, ACS, combine: 204
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Overlap, Nopol, combine: 205
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Overlap, SimFix, combine: 206
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Overlap, TBar, combine: 207
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Overlap, jGenProg, combine: 208
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Overlap, jKali, combine: 209
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Overlap, jMutRepair, combine: 210
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Phi, ACS, combine: 211
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Phi, Nopol, combine: 212
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Phi, SimFix, combine: 213
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Phi, TBar, combine: 214
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Phi, jGenProg, combine: 215
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Phi, jKali, combine: 216
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Phi, jMutRepair, combine: 217
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Pierce, ACS, combine: 218
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Pierce, Nopol, combine: 219
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Pierce, SimFix, combine: 220
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Pierce, TBar, combine: 221
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Pierce, jGenProg, combine: 222
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Pierce, jKali, combine: 223
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Pierce, jMutRepair, combine: 224
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, RogersTanimoto, ACS, combine: 225
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, RogersTanimoto, Nopol, combine: 226
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, RogersTanimoto, SimFix, combine: 227
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, RogersTanimoto, TBar, combine: 228
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, RogersTanimoto, jGenProg, combine: 229
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, RogersTanimoto, jKali, combine: 230
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, RogersTanimoto, jMutRepair, combine: 231
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Rogot1, ACS, combine: 232
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Rogot1, Nopol, combine: 233
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Rogot1, SimFix, combine: 234
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Rogot1, TBar, combine: 235
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Rogot1, jGenProg, combine: 236
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Rogot1, jKali, combine: 237
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Rogot1, jMutRepair, combine: 238
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Rogot2, ACS, combine: 239
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Rogot2, Nopol, combine: 240
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Rogot2, SimFix, combine: 241
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Rogot2, TBar, combine: 242
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Rogot2, jGenProg, combine: 243
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Rogot2, jKali, combine: 244
0 qid:20001 1:0 2:0.0 3:0.0 4:0.0 5:0 #closure-1, Rogot2, jMutRepair, combine: 245
