0 qid:30001 1:0 2:0 3:0 4:0 5:0.0 #math-1, DStar, ACS, combine: 1
0 qid:30006 1:0 2:0 3:0 4:0 5:0.5 #math-6, Ochiai, TBar, combine: 12
0 qid:30006 1:0 2:0 3:0 4:0 5:0.0 #math-6, Tarantula, ACS, combine: 13
0 qid:30006 1:0 2:0 3:0 4:0 5:0.0 #math-6, Tarantula, Nopol, combine: 14
0 qid:30006 1:0 2:0 3:0 4:0 5:0.5 #math-6, Tarantula, SimFix, combine: 15
0 qid:30006 1:0 2:0 3:0 4:0 5:0.5 #math-6, Tarantula, TBar, combine: 16
0 qid:30007 1:0 2:0 3:0 4:0 5:0.0 #math-7, DStar, ACS, combine: 1
0 qid:30007 1:0 2:0 3:0 4:0 5:0.5 #math-7, DStar, Nopol, combine: 2
0 qid:30007 1:0 2:0 3:0 4:0 5:0.0 #math-7, DStar, SimFix, combine: 3
0 qid:30007 1:0 2:0 3:0 4:0 5:0.0 #math-7, DStar, TBar, combine: 4
0 qid:30007 1:0 2:0 3:0 4:0 5:0.0 #math-7, Jaccard, ACS, combine: 5
0 qid:30007 1:0 2:0 3:0 4:0 5:0.5 #math-7, Jaccard, Nopol, combine: 6
0 qid:30007 1:0 2:0 3:0 4:0 5:0.0 #math-7, Jaccard, SimFix, combine: 7
0 qid:30007 1:0 2:0 3:0 4:0 5:0.0 #math-7, Jaccard, TBar, combine: 8
0 qid:30007 1:0 2:0 3:0 4:0 5:0.0 #math-7, Ochiai, ACS, combine: 9
0 qid:30007 1:0 2:0 3:0 4:0 5:0.5 #math-7, Ochiai, Nopol, combine: 10
0 qid:30007 1:0 2:0 3:0 4:0 5:0.0 #math-7, Ochiai, SimFix, combine: 11
0 qid:30007 1:0 2:0 3:0 4:0 5:0.0 #math-7, Ochiai, TBar, combine: 12
0 qid:30007 1:0 2:0 3:0 4:0 5:0.0 #math-7, Tarantula, ACS, combine: 13
0 qid:30007 1:0 2:0 3:0 4:0 5:0.5 #math-7, Tarantula, Nopol, combine: 14
0 qid:30007 1:0 2:0 3:0 4:0 5:0.0 #math-7, Tarantula, SimFix, combine: 15
0 qid:30007 1:0 2:0 3:0 4:0 5:0.0 #math-7, Tarantula, TBar, combine: 16
0 qid:30008 1:0 2:0 3:0 4:0 5:0.0 #math-8, DStar, ACS, combine: 1
0 qid:30008 1:0 2:0 3:0 4:0 5:0.0 #math-8, DStar, Nopol, combine: 2
0 qid:30008 1:0 2:0 3:0 4:0 5:0.5 #math-8, DStar, SimFix, combine: 3
0 qid:30008 1:0 2:0 3:0 4:0 5:0.0 #math-8, DStar, TBar, combine: 4
0 qid:30008 1:0 2:0 3:1 4:1 5:0.0 #math-8, Jaccard, ACS, combine: 5
0 qid:30008 1:0 2:0 3:1 4:1 5:0.0 #math-8, Jaccard, Nopol, combine: 6
0 qid:30008 1:0 2:0 3:1 4:1 5:0.5 #math-8, Jaccard, SimFix, combine: 7
0 qid:30008 1:0 2:0 3:1 4:1 5:0.0 #math-8, Jaccard, TBar, combine: 8
0 qid:30008 1:0 2:0 3:1 4:1 5:0.0 #math-8, Ochiai, ACS, combine: 9
0 qid:30008 1:0 2:0 3:1 4:1 5:0.0 #math-8, Ochiai, Nopol, combine: 10
0 qid:30008 1:0 2:0 3:1 4:1 5:0.5 #math-8, Ochiai, SimFix, combine: 11
0 qid:30008 1:0 2:0 3:1 4:1 5:0.0 #math-8, Ochiai, TBar, combine: 12
0 qid:30008 1:0 2:0 3:1 4:1 5:0.0 #math-8, Tarantula, ACS, combine: 13
0 qid:30008 1:0 2:0 3:1 4:1 5:0.0 #math-8, Tarantula, Nopol, combine: 14
0 qid:30008 1:0 2:0 3:1 4:1 5:0.5 #math-8, Tarantula, SimFix, combine: 15
0 qid:30008 1:0 2:0 3:1 4:1 5:0.0 #math-8, Tarantula, TBar, combine: 16
0 qid:30009 1:0 2:0 3:0 4:0 5:0.0 #math-9, DStar, ACS, combine: 1
0 qid:30009 1:0 2:0 3:0 4:0 5:0.0 #math-9, DStar, Nopol, combine: 2
0 qid:30009 1:0 2:0 3:0 4:0 5:0.0 #math-9, DStar, SimFix, combine: 3
0 qid:30009 1:0 2:0 3:0 4:0 5:0.0 #math-9, DStar, TBar, combine: 4
0 qid:30009 1:1 2:1 3:1 4:1 5:0.0 #math-9, Jaccard, ACS, combine: 5
0 qid:30009 1:1 2:1 3:1 4:1 5:0.0 #math-9, Jaccard, Nopol, combine: 6
0 qid:30009 1:1 2:1 3:1 4:1 5:0.0 #math-9, Jaccard, SimFix, combine: 7
0 qid:30009 1:1 2:1 3:1 4:1 5:0.0 #math-9, Jaccard, TBar, combine: 8
0 qid:30009 1:1 2:1 3:1 4:1 5:0.0 #math-9, Ochiai, ACS, combine: 9
0 qid:30009 1:1 2:1 3:1 4:1 5:0.0 #math-9, Ochiai, Nopol, combine: 10
0 qid:30009 1:1 2:1 3:1 4:1 5:0.0 #math-9, Ochiai, SimFix, combine: 11
0 qid:30009 1:1 2:1 3:1 4:1 5:0.0 #math-9, Ochiai, TBar, combine: 12
0 qid:30009 1:1 2:1 3:1 4:1 5:0.0 #math-9, Tarantula, ACS, combine: 13
0 qid:30009 1:1 2:1 3:1 4:1 5:0.0 #math-9, Tarantula, Nopol, combine: 14
0 qid:30009 1:1 2:1 3:1 4:1 5:0.0 #math-9, Tarantula, SimFix, combine: 15
0 qid:30009 1:1 2:1 3:1 4:1 5:0.0 #math-9, Tarantula, TBar, combine: 16
0 qid:30010 1:0 2:0 3:0 4:0 5:0.0 #math-10, DStar, ACS, combine: 1
0 qid:30010 1:0 2:0 3:0 4:0 5:0.0 #math-10, DStar, Nopol, combine: 2
0 qid:30010 1:0 2:0 3:0 4:0 5:0.0 #math-10, DStar, SimFix, combine: 3
0 qid:30010 1:0 2:0 3:0 4:0 5:0.0 #math-10, DStar, TBar, combine: 4
0 qid:30010 1:0 2:0 3:0 4:0 5:0.0 #math-10, Jaccard, ACS, combine: 5
0 qid:30010 1:0 2:0 3:0 4:0 5:0.0 #math-10, Jaccard, Nopol, combine: 6
0 qid:30010 1:0 2:0 3:0 4:0 5:0.0 #math-10, Jaccard, SimFix, combine: 7
0 qid:30010 1:0 2:0 3:0 4:0 5:0.0 #math-10, Jaccard, TBar, combine: 8
0 qid:30010 1:0 2:0 3:0 4:0 5:0.0 #math-10, Ochiai, ACS, combine: 9
0 qid:30010 1:0 2:0 3:0 4:0 5:0.0 #math-10, Ochiai, Nopol, combine: 10
0 qid:30010 1:0 2:0 3:0 4:0 5:0.0 #math-10, Ochiai, SimFix, combine: 11
0 qid:30010 1:0 2:0 3:0 4:0 5:0.0 #math-10, Ochiai, TBar, combine: 12
0 qid:30010 1:0 2:0 3:0 4:0 5:0.0 #math-10, Tarantula, ACS, combine: 13
0 qid:30010 1:0 2:0 3:0 4:0 5:0.0 #math-10, Tarantula, Nopol, combine: 14
0 qid:30010 1:0 2:0 3:0 4:0 5:0.0 #math-10, Tarantula, SimFix, combine: 15
0 qid:30010 1:0 2:0 3:0 4:0 5:0.0 #math-10, Tarantula, TBar, combine: 16
0 qid:30011 1:0 2:1 3:1 4:1 5:0.0 #math-11, DStar, ACS, combine: 1
0 qid:30011 1:0 2:1 3:1 4:1 5:0.0 #math-11, DStar, Nopol, combine: 2
0 qid:30011 1:0 2:1 3:1 4:1 5:0.0 #math-11, DStar, SimFix, combine: 3
0 qid:30011 1:0 2:1 3:1 4:1 5:0.5 #math-11, DStar, TBar, combine: 4
0 qid:30011 1:0 2:0 3:0 4:0 5:0.0 #math-11, Jaccard, ACS, combine: 5
0 qid:30011 1:0 2:0 3:0 4:0 5:0.0 #math-11, Jaccard, Nopol, combine: 6
0 qid:30011 1:0 2:0 3:0 4:0 5:0.0 #math-11, Jaccard, SimFix, combine: 7
0 qid:30011 1:0 2:0 3:0 4:0 5:0.5 #math-11, Jaccard, TBar, combine: 8
0 qid:30011 1:0 2:0 3:0 4:0 5:0.0 #math-11, Ochiai, ACS, combine: 9
0 qid:30011 1:0 2:0 3:0 4:0 5:0.0 #math-11, Ochiai, Nopol, combine: 10
0 qid:30011 1:0 2:0 3:0 4:0 5:0.0 #math-11, Ochiai, SimFix, combine: 11
0 qid:30011 1:0 2:0 3:0 4:0 5:0.5 #math-11, Ochiai, TBar, combine: 12
0 qid:30011 1:0 2:0 3:0 4:0 5:0.0 #math-11, Tarantula, ACS, combine: 13
0 qid:30011 1:0 2:0 3:0 4:0 5:0.0 #math-11, Tarantula, Nopol, combine: 14
0 qid:30011 1:0 2:0 3:0 4:0 5:0.0 #math-11, Tarantula, SimFix, combine: 15
0 qid:30011 1:0 2:0 3:0 4:0 5:0.5 #math-11, Tarantula, TBar, combine: 16
0 qid:30012 1:0 2:0 3:0 4:0 5:0.0 #math-12, DStar, ACS, combine: 1
0 qid:30012 1:0 2:0 3:0 4:0 5:0.0 #math-12, DStar, Nopol, combine: 2
0 qid:30012 1:0 2:0 3:0 4:0 5:0.0 #math-12, DStar, SimFix, combine: 3
0 qid:30012 1:0 2:0 3:0 4:0 5:0.0 #math-12, DStar, TBar, combine: 4
0 qid:30012 1:0 2:0 3:0 4:0 5:0.0 #math-12, Jaccard, ACS, combine: 5
0 qid:30012 1:0 2:0 3:0 4:0 5:0.0 #math-12, Jaccard, Nopol, combine: 6
0 qid:30012 1:0 2:0 3:0 4:0 5:0.0 #math-12, Jaccard, SimFix, combine: 7
0 qid:30012 1:0 2:0 3:0 4:0 5:0.0 #math-12, Jaccard, TBar, combine: 8
0 qid:30012 1:0 2:0 3:0 4:0 5:0.0 #math-12, Ochiai, ACS, combine: 9
0 qid:30012 1:0 2:0 3:0 4:0 5:0.0 #math-12, Ochiai, Nopol, combine: 10
0 qid:30012 1:0 2:0 3:0 4:0 5:0.0 #math-12, Ochiai, SimFix, combine: 11
0 qid:30012 1:0 2:0 3:0 4:0 5:0.0 #math-12, Ochiai, TBar, combine: 12
0 qid:30012 1:0 2:0 3:0 4:0 5:0.0 #math-12, Tarantula, ACS, combine: 13
0 qid:30012 1:0 2:0 3:0 4:0 5:0.0 #math-12, Tarantula, Nopol, combine: 14
0 qid:30012 1:0 2:0 3:0 4:0 5:0.0 #math-12, Tarantula, SimFix, combine: 15
0 qid:30012 1:0 2:0 3:0 4:0 5:0.0 #math-12, Tarantula, TBar, combine: 16
0 qid:30013 1:0 2:0 3:0 4:0 5:0.0 #math-13, DStar, ACS, combine: 1
0 qid:30013 1:0 2:0 3:0 4:0 5:0.0 #math-13, DStar, Nopol, combine: 2
0 qid:30013 1:0 2:0 3:0 4:0 5:0.0 #math-13, DStar, SimFix, combine: 3
0 qid:30013 1:0 2:0 3:0 4:0 5:0.0 #math-13, DStar, TBar, combine: 4
0 qid:30013 1:0 2:0 3:0 4:0 5:0.0 #math-13, Jaccard, ACS, combine: 5
0 qid:30013 1:0 2:0 3:0 4:0 5:0.0 #math-13, Jaccard, Nopol, combine: 6
0 qid:30013 1:0 2:0 3:0 4:0 5:0.0 #math-13, Jaccard, SimFix, combine: 7
0 qid:30013 1:0 2:0 3:0 4:0 5:0.0 #math-13, Jaccard, TBar, combine: 8
0 qid:30013 1:0 2:0 3:0 4:0 5:0.0 #math-13, Ochiai, ACS, combine: 9
0 qid:30013 1:0 2:0 3:0 4:0 5:0.0 #math-13, Ochiai, Nopol, combine: 10
0 qid:30013 1:0 2:0 3:0 4:0 5:0.0 #math-13, Ochiai, SimFix, combine: 11
0 qid:30013 1:0 2:0 3:0 4:0 5:0.0 #math-13, Ochiai, TBar, combine: 12
0 qid:30013 1:0 2:0 3:0 4:0 5:0.0 #math-13, Tarantula, ACS, combine: 13
0 qid:30013 1:0 2:0 3:0 4:0 5:0.0 #math-13, Tarantula, Nopol, combine: 14
0 qid:30013 1:0 2:0 3:0 4:0 5:0.0 #math-13, Tarantula, SimFix, combine: 15
0 qid:30013 1:0 2:0 3:0 4:0 5:0.0 #math-13, Tarantula, TBar, combine: 16
0 qid:30014 1:0 2:0 3:0 4:0 5:0.0 #math-14, DStar, ACS, combine: 1
0 qid:30014 1:0 2:0 3:0 4:0 5:0.0 #math-14, DStar, Nopol, combine: 2
0 qid:30014 1:0 2:0 3:0 4:0 5:0.0 #math-14, DStar, SimFix, combine: 3
0 qid:30014 1:0 2:0 3:0 4:0 5:0.0 #math-14, DStar, TBar, combine: 4
0 qid:30014 1:0 2:0 3:0 4:0 5:0.0 #math-14, Jaccard, ACS, combine: 5
0 qid:30014 1:0 2:0 3:0 4:0 5:0.0 #math-14, Jaccard, Nopol, combine: 6
0 qid:30014 1:0 2:0 3:0 4:0 5:0.0 #math-14, Jaccard, SimFix, combine: 7
0 qid:30014 1:0 2:0 3:0 4:0 5:0.0 #math-14, Jaccard, TBar, combine: 8
0 qid:30014 1:0 2:0 3:0 4:0 5:0.0 #math-14, Ochiai, ACS, combine: 9
0 qid:30014 1:0 2:0 3:0 4:0 5:0.0 #math-14, Ochiai, Nopol, combine: 10
0 qid:30014 1:0 2:0 3:0 4:0 5:0.0 #math-14, Ochiai, SimFix, combine: 11
0 qid:30014 1:0 2:0 3:0 4:0 5:0.0 #math-14, Ochiai, TBar, combine: 12
0 qid:30014 1:0 2:0 3:0 4:0 5:0.0 #math-14, Tarantula, ACS, combine: 13
0 qid:30014 1:0 2:0 3:0 4:0 5:0.0 #math-14, Tarantula, Nopol, combine: 14
0 qid:30014 1:0 2:0 3:0 4:0 5:0.0 #math-14, Tarantula, SimFix, combine: 15
0 qid:30014 1:0 2:0 3:0 4:0 5:0.0 #math-14, Tarantula, TBar, combine: 16
0 qid:30015 1:0 2:0 3:0 4:0 5:0.0 #math-15, DStar, ACS, combine: 1
0 qid:30015 1:0 2:0 3:0 4:0 5:0.0 #math-15, DStar, Nopol, combine: 2
0 qid:30015 1:0 2:0 3:0 4:0 5:0.0 #math-15, DStar, SimFix, combine: 3
0 qid:30015 1:0 2:0 3:0 4:0 5:0.5 #math-15, DStar, TBar, combine: 4
0 qid:30015 1:0 2:0 3:0 4:0 5:0.0 #math-15, Jaccard, ACS, combine: 5
0 qid:30015 1:0 2:0 3:0 4:0 5:0.0 #math-15, Jaccard, Nopol, combine: 6
0 qid:30015 1:0 2:0 3:0 4:0 5:0.0 #math-15, Jaccard, SimFix, combine: 7
0 qid:30015 1:0 2:0 3:0 4:0 5:0.5 #math-15, Jaccard, TBar, combine: 8
0 qid:30015 1:0 2:0 3:0 4:0 5:0.0 #math-15, Ochiai, ACS, combine: 9
0 qid:30015 1:0 2:0 3:0 4:0 5:0.0 #math-15, Ochiai, Nopol, combine: 10
0 qid:30015 1:0 2:0 3:0 4:0 5:0.0 #math-15, Ochiai, SimFix, combine: 11
0 qid:30015 1:0 2:0 3:0 4:0 5:0.5 #math-15, Ochiai, TBar, combine: 12
0 qid:30015 1:0 2:0 3:0 4:0 5:0.0 #math-15, Tarantula, ACS, combine: 13
0 qid:30015 1:0 2:0 3:0 4:0 5:0.0 #math-15, Tarantula, Nopol, combine: 14
0 qid:30015 1:0 2:0 3:0 4:0 5:0.0 #math-15, Tarantula, SimFix, combine: 15
0 qid:30015 1:0 2:0 3:0 4:0 5:0.5 #math-15, Tarantula, TBar, combine: 16
0 qid:30016 1:0 2:1 3:1 4:1 5:0.0 #math-16, DStar, ACS, combine: 1
0 qid:30016 1:0 2:1 3:1 4:1 5:0.0 #math-16, DStar, Nopol, combine: 2
0 qid:30016 1:0 2:1 3:1 4:1 5:0.0 #math-16, DStar, SimFix, combine: 3
0 qid:30016 1:0 2:1 3:1 4:1 5:0.5 #math-16, DStar, TBar, combine: 4
0 qid:30016 1:1 2:1 3:1 4:1 5:0.0 #math-16, Jaccard, ACS, combine: 5
0 qid:30016 1:1 2:1 3:1 4:1 5:0.0 #math-16, Jaccard, Nopol, combine: 6
0 qid:30016 1:1 2:1 3:1 4:1 5:0.0 #math-16, Jaccard, SimFix, combine: 7
0 qid:30016 1:1 2:1 3:1 4:1 5:0.5 #math-16, Jaccard, TBar, combine: 8
0 qid:30016 1:0 2:1 3:1 4:1 5:0.0 #math-16, Ochiai, ACS, combine: 9
0 qid:30016 1:0 2:1 3:1 4:1 5:0.0 #math-16, Ochiai, Nopol, combine: 10
0 qid:30016 1:0 2:1 3:1 4:1 5:0.0 #math-16, Ochiai, SimFix, combine: 11
0 qid:30016 1:0 2:1 3:1 4:1 5:0.5 #math-16, Ochiai, TBar, combine: 12
0 qid:30016 1:1 2:1 3:1 4:1 5:0.0 #math-16, Tarantula, ACS, combine: 13
0 qid:30016 1:1 2:1 3:1 4:1 5:0.0 #math-16, Tarantula, Nopol, combine: 14
0 qid:30016 1:1 2:1 3:1 4:1 5:0.0 #math-16, Tarantula, SimFix, combine: 15
0 qid:30016 1:1 2:1 3:1 4:1 5:0.5 #math-16, Tarantula, TBar, combine: 16
0 qid:30017 1:0 2:0 3:0 4:0 5:0.0 #math-17, DStar, ACS, combine: 1
0 qid:30017 1:0 2:0 3:0 4:0 5:0.0 #math-17, DStar, Nopol, combine: 2
0 qid:30017 1:0 2:0 3:0 4:0 5:0.0 #math-17, DStar, SimFix, combine: 3
0 qid:30017 1:0 2:0 3:0 4:0 5:0.0 #math-17, DStar, TBar, combine: 4
0 qid:30017 1:0 2:0 3:0 4:0 5:0.0 #math-17, Jaccard, ACS, combine: 5
0 qid:30017 1:0 2:0 3:0 4:0 5:0.0 #math-17, Jaccard, Nopol, combine: 6
0 qid:30017 1:0 2:0 3:0 4:0 5:0.0 #math-17, Jaccard, SimFix, combine: 7
0 qid:30017 1:0 2:0 3:0 4:0 5:0.0 #math-17, Jaccard, TBar, combine: 8
0 qid:30017 1:0 2:0 3:0 4:0 5:0.0 #math-17, Ochiai, ACS, combine: 9
0 qid:30017 1:0 2:0 3:0 4:0 5:0.0 #math-17, Ochiai, Nopol, combine: 10
0 qid:30017 1:0 2:0 3:0 4:0 5:0.0 #math-17, Ochiai, SimFix, combine: 11
0 qid:30017 1:0 2:0 3:0 4:0 5:0.0 #math-17, Ochiai, TBar, combine: 12
0 qid:30017 1:0 2:0 3:0 4:0 5:0.0 #math-17, Tarantula, ACS, combine: 13
0 qid:30017 1:0 2:0 3:0 4:0 5:0.0 #math-17, Tarantula, Nopol, combine: 14
0 qid:30017 1:0 2:0 3:0 4:0 5:0.0 #math-17, Tarantula, SimFix, combine: 15
0 qid:30017 1:0 2:0 3:0 4:0 5:0.0 #math-17, Tarantula, TBar, combine: 16
0 qid:30018 1:0 2:0 3:0 4:0 5:0.0 #math-18, DStar, ACS, combine: 1
