10001 Q0 chart-1, Ample, ACS, combine: 1 1 0.46212 indri
10001 Q0 chart-1, Goodman, jMutRepair, combine: 91 91 0.46212 indri
10001 Q0 chart-1, Gower, ACS, combine: 92 92 0.46212 indri
10001 Q0 chart-1, Gower, Nopol, combine: 93 93 0.46212 indri
10001 Q0 chart-1, Gower, SimFix, combine: 94 94 0.46212 indri
10001 Q0 chart-1, Gower, TBar, combine: 95 95 0.46212 indri
10001 Q0 chart-1, Gower, jGenProg, combine: 96 96 0.46212 indri
10001 Q0 chart-1, Gower, jKali, combine: 97 97 0.46212 indri
10001 Q0 chart-1, Gower, jMutRepair, combine: 98 98 0.46212 indri
10001 Q0 chart-1, GP13, ACS, combine: 99 99 0.46212 indri
10001 Q0 chart-1, GP13, Nopol, combine: 100 100 0.46212 indri
10001 Q0 chart-1, GP13, SimFix, combine: 101 101 0.46212 indri
10001 Q0 chart-1, GP13, TBar, combine: 102 102 0.46212 indri
10001 Q0 chart-1, GP13, jGenProg, combine: 103 103 0.46212 indri
10001 Q0 chart-1, GP13, jKali, combine: 104 104 0.46212 indri
10001 Q0 chart-1, GP13, jMutRepair, combine: 105 105 0.46212 indri
10001 Q0 chart-1, Hamann, ACS, combine: 106 106 0.46212 indri
10001 Q0 chart-1, Hamann, Nopol, combine: 107 107 0.46212 indri
10001 Q0 chart-1, Hamann, SimFix, combine: 108 108 0.46212 indri
10001 Q0 chart-1, Hamann, TBar, combine: 109 109 0.46212 indri
10001 Q0 chart-1, Hamann, jGenProg, combine: 110 110 0.46212 indri
10001 Q0 chart-1, Hamann, jKali, combine: 111 111 0.46212 indri
10001 Q0 chart-1, Hamann, jMutRepair, combine: 112 112 0.46212 indri
10001 Q0 chart-1, Hamming, ACS, combine: 113 113 0.46212 indri
10001 Q0 chart-1, Hamming, Nopol, combine: 114 114 0.46212 indri
10001 Q0 chart-1, Hamming, SimFix, combine: 115 115 0.46212 indri
10001 Q0 chart-1, Hamming, TBar, combine: 116 116 0.46212 indri
10001 Q0 chart-1, Hamming, jGenProg, combine: 117 117 0.46212 indri
10001 Q0 chart-1, Hamming, jKali, combine: 118 118 0.46212 indri
10001 Q0 chart-1, Hamming, jMutRepair, combine: 119 119 0.46212 indri
10001 Q0 chart-1, HarmonicMean, ACS, combine: 120 120 0.46212 indri
10001 Q0 chart-1, HarmonicMean, Nopol, combine: 121 121 0.46212 indri
10001 Q0 chart-1, HarmonicMean, SimFix, combine: 122 122 0.46212 indri
10001 Q0 chart-1, HarmonicMean, TBar, combine: 123 123 0.46212 indri
10001 Q0 chart-1, HarmonicMean, jGenProg, combine: 124 124 0.46212 indri
10001 Q0 chart-1, HarmonicMean, jKali, combine: 125 125 0.46212 indri
10001 Q0 chart-1, HarmonicMean, jMutRepair, combine: 126 126 0.46212 indri
10001 Q0 chart-1, Jaccard, ACS, combine: 127 127 0.46212 indri
10001 Q0 chart-1, Jaccard, Nopol, combine: 128 128 0.46212 indri
10001 Q0 chart-1, Jaccard, SimFix, combine: 129 129 0.46212 indri
10001 Q0 chart-1, Jaccard, TBar, combine: 130 130 0.46212 indri
10001 Q0 chart-1, Jaccard, jGenProg, combine: 131 131 0.46212 indri
10001 Q0 chart-1, Jaccard, jKali, combine: 132 132 0.46212 indri
10001 Q0 chart-1, Jaccard, jMutRepair, combine: 133 133 0.46212 indri
10001 Q0 chart-1, Kulczynski1, ACS, combine: 134 134 0.46212 indri
10001 Q0 chart-1, Kulczynski1, Nopol, combine: 135 135 0.46212 indri
10001 Q0 chart-1, Kulczynski1, SimFix, combine: 136 136 0.46212 indri
10001 Q0 chart-1, Kulczynski1, TBar, combine: 137 137 0.46212 indri
10001 Q0 chart-1, Kulczynski1, jGenProg, combine: 138 138 0.46212 indri
10001 Q0 chart-1, Kulczynski1, jKali, combine: 139 139 0.46212 indri
10001 Q0 chart-1, Kulczynski1, jMutRepair, combine: 140 140 0.46212 indri
10001 Q0 chart-1, Kulczynskil2, ACS, combine: 141 141 0.46212 indri
10001 Q0 chart-1, Kulczynskil2, Nopol, combine: 142 142 0.46212 indri
10001 Q0 chart-1, Kulczynskil2, SimFix, combine: 143 143 0.46212 indri
10001 Q0 chart-1, Kulczynskil2, TBar, combine: 144 144 0.46212 indri
10001 Q0 chart-1, Kulczynskil2, jGenProg, combine: 145 145 0.46212 indri
10001 Q0 chart-1, Kulczynskil2, jKali, combine: 146 146 0.46212 indri
10001 Q0 chart-1, Kulczynskil2, jMutRepair, combine: 147 147 0.46212 indri
10001 Q0 chart-1, M1, ACS, combine: 148 148 0.46212 indri
10001 Q0 chart-1, M1, Nopol, combine: 149 149 0.46212 indri
10001 Q0 chart-1, M1, SimFix, combine: 150 150 0.46212 indri
10001 Q0 chart-1, M1, TBar, combine: 151 151 0.46212 indri
10001 Q0 chart-1, M1, jGenProg, combine: 152 152 0.46212 indri
10001 Q0 chart-1, M1, jKali, combine: 153 153 0.46212 indri
10001 Q0 chart-1, M1, jMutRepair, combine: 154 154 0.46212 indri
10001 Q0 chart-1, M2, ACS, combine: 155 155 0.46212 indri
10001 Q0 chart-1, M2, Nopol, combine: 156 156 0.46212 indri
10001 Q0 chart-1, M2, SimFix, combine: 157 157 0.46212 indri
10001 Q0 chart-1, M2, TBar, combine: 158 158 0.46212 indri
10001 Q0 chart-1, M2, jGenProg, combine: 159 159 0.46212 indri
10001 Q0 chart-1, M2, jKali, combine: 160 160 0.46212 indri
10001 Q0 chart-1, M2, jMutRepair, combine: 161 161 0.46212 indri
10001 Q0 chart-1, Michael, ACS, combine: 162 162 0.46212 indri
10001 Q0 chart-1, Michael, Nopol, combine: 163 163 0.46212 indri
10001 Q0 chart-1, Michael, SimFix, combine: 164 164 0.46212 indri
10001 Q0 chart-1, Michael, TBar, combine: 165 165 0.46212 indri
10001 Q0 chart-1, Michael, jGenProg, combine: 166 166 0.46212 indri
10001 Q0 chart-1, Michael, jKali, combine: 167 167 0.46212 indri
10001 Q0 chart-1, Michael, jMutRepair, combine: 168 168 0.46212 indri
10001 Q0 chart-1, Mountford, ACS, combine: 169 169 0.46212 indri
10001 Q0 chart-1, Mountford, Nopol, combine: 170 170 0.46212 indri
10001 Q0 chart-1, Mountford, SimFix, combine: 171 171 0.46212 indri
10001 Q0 chart-1, Mountford, TBar, combine: 172 172 0.46212 indri
10001 Q0 chart-1, Mountford, jGenProg, combine: 173 173 0.46212 indri
10001 Q0 chart-1, Mountford, jKali, combine: 174 174 0.46212 indri
10001 Q0 chart-1, Mountford, jMutRepair, combine: 175 175 0.46212 indri
10001 Q0 chart-1, Ochiai, ACS, combine: 176 176 0.46212 indri
10001 Q0 chart-1, Ochiai, Nopol, combine: 177 177 0.46212 indri
10001 Q0 chart-1, Ochiai, SimFix, combine: 178 178 0.46212 indri
10001 Q0 chart-1, Ochiai, TBar, combine: 179 179 0.46212 indri
10001 Q0 chart-1, Ochiai, jGenProg, combine: 180 180 0.46212 indri
10001 Q0 chart-1, Ochiai, jKali, combine: 181 181 0.46212 indri
10001 Q0 chart-1, Ochiai, jMutRepair, combine: 182 182 0.46212 indri
10001 Q0 chart-1, Ochiai2, ACS, combine: 183 183 0.46212 indri
10001 Q0 chart-1, Ochiai2, Nopol, combine: 184 184 0.46212 indri
10001 Q0 chart-1, Ochiai2, SimFix, combine: 185 185 0.46212 indri
10001 Q0 chart-1, Ochiai2, TBar, combine: 186 186 0.46212 indri
10001 Q0 chart-1, Ochiai2, jGenProg, combine: 187 187 0.46212 indri
10001 Q0 chart-1, Ochiai2, jKali, combine: 188 188 0.46212 indri
10001 Q0 chart-1, Ochiai2, jMutRepair, combine: 189 189 0.46212 indri
10001 Q0 chart-1, Optimal, ACS, combine: 190 190 0.46212 indri
10001 Q0 chart-1, Optimal, Nopol, combine: 191 191 0.46212 indri
10001 Q0 chart-1, Optimal, SimFix, combine: 192 192 0.46212 indri
10001 Q0 chart-1, Optimal, TBar, combine: 193 193 0.46212 indri
10001 Q0 chart-1, Optimal, jGenProg, combine: 194 194 0.46212 indri
10001 Q0 chart-1, Optimal, jKali, combine: 195 195 0.46212 indri
10001 Q0 chart-1, Optimal, jMutRepair, combine: 196 196 0.46212 indri
10001 Q0 chart-1, OptimalP, ACS, combine: 197 197 0.46212 indri
10001 Q0 chart-1, OptimalP, Nopol, combine: 198 198 0.46212 indri
10001 Q0 chart-1, OptimalP, SimFix, combine: 199 199 0.46212 indri
10001 Q0 chart-1, OptimalP, TBar, combine: 200 200 0.46212 indri
10001 Q0 chart-1, OptimalP, jGenProg, combine: 201 201 0.46212 indri
10001 Q0 chart-1, OptimalP, jKali, combine: 202 202 0.46212 indri
10001 Q0 chart-1, OptimalP, jMutRepair, combine: 203 203 0.46212 indri
10001 Q0 chart-1, Overlap, ACS, combine: 204 204 0.46212 indri
10001 Q0 chart-1, Overlap, Nopol, combine: 205 205 0.46212 indri
10001 Q0 chart-1, Overlap, SimFix, combine: 206 206 0.46212 indri
10001 Q0 chart-1, Overlap, TBar, combine: 207 207 0.46212 indri
10001 Q0 chart-1, Overlap, jGenProg, combine: 208 208 0.46212 indri
10001 Q0 chart-1, Overlap, jKali, combine: 209 209 0.46212 indri
10001 Q0 chart-1, Overlap, jMutRepair, combine: 210 210 0.46212 indri
10001 Q0 chart-1, Phi, ACS, combine: 211 211 0.46212 indri
10001 Q0 chart-1, Phi, Nopol, combine: 212 212 0.46212 indri
10001 Q0 chart-1, Phi, SimFix, combine: 213 213 0.46212 indri
10001 Q0 chart-1, Phi, TBar, combine: 214 214 0.46212 indri
10001 Q0 chart-1, Phi, jGenProg, combine: 215 215 0.46212 indri
10001 Q0 chart-1, Phi, jKali, combine: 216 216 0.46212 indri
10001 Q0 chart-1, Phi, jMutRepair, combine: 217 217 0.46212 indri
10001 Q0 chart-1, Pierce, ACS, combine: 218 218 0.46212 indri
10001 Q0 chart-1, Pierce, Nopol, combine: 219 219 0.46212 indri
10001 Q0 chart-1, Pierce, SimFix, combine: 220 220 0.46212 indri
10001 Q0 chart-1, Pierce, TBar, combine: 221 221 0.46212 indri
10001 Q0 chart-1, Pierce, jGenProg, combine: 222 222 0.46212 indri
10001 Q0 chart-1, Pierce, jKali, combine: 223 223 0.46212 indri
10001 Q0 chart-1, Pierce, jMutRepair, combine: 224 224 0.46212 indri
10001 Q0 chart-1, RogersTanimoto, ACS, combine: 225 225 0.46212 indri
10001 Q0 chart-1, RogersTanimoto, Nopol, combine: 226 226 0.46212 indri
10001 Q0 chart-1, RogersTanimoto, SimFix, combine: 227 227 0.46212 indri
10001 Q0 chart-1, RogersTanimoto, TBar, combine: 228 228 0.46212 indri
10001 Q0 chart-1, RogersTanimoto, jGenProg, combine: 229 229 0.46212 indri
10001 Q0 chart-1, RogersTanimoto, jKali, combine: 230 230 0.46212 indri
10001 Q0 chart-1, RogersTanimoto, jMutRepair, combine: 231 231 0.46212 indri
10001 Q0 chart-1, Rogot1, ACS, combine: 232 232 0.46212 indri
10001 Q0 chart-1, Rogot1, Nopol, combine: 233 233 0.46212 indri
10001 Q0 chart-1, Rogot1, SimFix, combine: 234 234 0.46212 indri
10001 Q0 chart-1, Rogot1, TBar, combine: 235 235 0.46212 indri
10001 Q0 chart-1, Rogot1, jGenProg, combine: 236 236 0.46212 indri
10001 Q0 chart-1, Rogot1, jKali, combine: 237 237 0.46212 indri
10001 Q0 chart-1, Rogot1, jMutRepair, combine: 238 238 0.46212 indri
10001 Q0 chart-1, Rogot2, ACS, combine: 239 239 0.46212 indri
10001 Q0 chart-1, Rogot2, Nopol, combine: 240 240 0.46212 indri
10001 Q0 chart-1, Rogot2, SimFix, combine: 241 241 0.46212 indri
10001 Q0 chart-1, Rogot2, TBar, combine: 242 242 0.46212 indri
10001 Q0 chart-1, Rogot2, jGenProg, combine: 243 243 0.46212 indri
10001 Q0 chart-1, Rogot2, jKali, combine: 244 244 0.46212 indri
10001 Q0 chart-1, Rogot2, jMutRepair, combine: 245 245 0.46212 indri
10001 Q0 chart-1, RussellRao, ACS, combine: 246 246 0.46212 indri
10001 Q0 chart-1, RussellRao, Nopol, combine: 247 247 0.46212 indri
10001 Q0 chart-1, RussellRao, SimFix, combine: 248 248 0.46212 indri
10001 Q0 chart-1, RussellRao, TBar, combine: 249 249 0.46212 indri
10001 Q0 chart-1, RussellRao, jGenProg, combine: 250 250 0.46212 indri
10001 Q0 chart-1, RussellRao, jKali, combine: 251 251 0.46212 indri
10001 Q0 chart-1, RussellRao, jMutRepair, combine: 252 252 0.46212 indri
10001 Q0 chart-1, SBI, ACS, combine: 253 253 0.46212 indri
10001 Q0 chart-1, SBI, Nopol, combine: 254 254 0.46212 indri
10001 Q0 chart-1, SBI, SimFix, combine: 255 255 0.46212 indri
10001 Q0 chart-1, SBI, TBar, combine: 256 256 0.46212 indri
10001 Q0 chart-1, SBI, jGenProg, combine: 257 257 0.46212 indri
10001 Q0 chart-1, SBI, jKali, combine: 258 258 0.46212 indri
10001 Q0 chart-1, SBI, jMutRepair, combine: 259 259 0.46212 indri
10001 Q0 chart-1, Scott, ACS, combine: 260 260 0.46212 indri
10001 Q0 chart-1, Scott, Nopol, combine: 261 261 0.46212 indri
10001 Q0 chart-1, Scott, SimFix, combine: 262 262 0.46212 indri
10001 Q0 chart-1, Scott, TBar, combine: 263 263 0.46212 indri
10001 Q0 chart-1, Scott, jGenProg, combine: 264 264 0.46212 indri
10001 Q0 chart-1, Scott, jKali, combine: 265 265 0.46212 indri
10001 Q0 chart-1, Scott, jMutRepair, combine: 266 266 0.46212 indri
10001 Q0 chart-1, SimpleMatching, ACS, combine: 267 267 0.46212 indri
10001 Q0 chart-1, SimpleMatching, Nopol, combine: 268 268 0.46212 indri
10001 Q0 chart-1, SimpleMatching, SimFix, combine: 269 269 0.46212 indri
10001 Q0 chart-1, SimpleMatching, TBar, combine: 270 270 0.46212 indri
10001 Q0 chart-1, SimpleMatching, jGenProg, combine: 271 271 0.46212 indri
10001 Q0 chart-1, SimpleMatching, jKali, combine: 272 272 0.46212 indri
10001 Q0 chart-1, SimpleMatching, jMutRepair, combine: 273 273 0.46212 indri
10001 Q0 chart-1, Sokal, ACS, combine: 274 274 0.46212 indri
10001 Q0 chart-1, Sokal, Nopol, combine: 275 275 0.46212 indri
10001 Q0 chart-1, Sokal, SimFix, combine: 276 276 0.46212 indri
10001 Q0 chart-1, Sokal, TBar, combine: 277 277 0.46212 indri
10001 Q0 chart-1, Sokal, jGenProg, combine: 278 278 0.46212 indri
10001 Q0 chart-1, Sokal, jKali, combine: 279 279 0.46212 indri
10001 Q0 chart-1, Sokal, jMutRepair, combine: 280 280 0.46212 indri
10001 Q0 chart-1, SorensenDice, ACS, combine: 281 281 0.46212 indri
10001 Q0 chart-1, SorensenDice, Nopol, combine: 282 282 0.46212 indri
10001 Q0 chart-1, SorensenDice, SimFix, combine: 283 283 0.46212 indri
10001 Q0 chart-1, SorensenDice, TBar, combine: 284 284 0.46212 indri
10001 Q0 chart-1, SorensenDice, jGenProg, combine: 285 285 0.46212 indri
10001 Q0 chart-1, SorensenDice, jKali, combine: 286 286 0.46212 indri
10001 Q0 chart-1, SorensenDice, jMutRepair, combine: 287 287 0.46212 indri
10001 Q0 chart-1, Tarantula, ACS, combine: 288 288 0.46212 indri
10001 Q0 chart-1, Tarantula, Nopol, combine: 289 289 0.46212 indri
10001 Q0 chart-1, Tarantula, SimFix, combine: 290 290 0.46212 indri
10001 Q0 chart-1, Tarantula, TBar, combine: 291 291 0.46212 indri
10001 Q0 chart-1, Tarantula, jGenProg, combine: 292 292 0.46212 indri
10001 Q0 chart-1, Tarantula, jKali, combine: 293 293 0.46212 indri
10001 Q0 chart-1, Tarantula, jMutRepair, combine: 294 294 0.46212 indri
10001 Q0 chart-1, Tarwid, ACS, combine: 295 295 0.46212 indri
10001 Q0 chart-1, Tarwid, Nopol, combine: 296 296 0.46212 indri
10001 Q0 chart-1, Tarwid, SimFix, combine: 297 297 0.46212 indri
10001 Q0 chart-1, Tarwid, TBar, combine: 298 298 0.46212 indri
10001 Q0 chart-1, Tarwid, jGenProg, combine: 299 299 0.46212 indri
10001 Q0 chart-1, Tarwid, jKali, combine: 300 300 0.46212 indri
10001 Q0 chart-1, Tarwid, jMutRepair, combine: 301 301 0.46212 indri
10001 Q0 chart-1, Wong1, ACS, combine: 302 302 0.46212 indri
10001 Q0 chart-1, Wong1, Nopol, combine: 303 303 0.46212 indri
10001 Q0 chart-1, Wong1, SimFix, combine: 304 304 0.46212 indri
10001 Q0 chart-1, Wong1, TBar, combine: 305 305 0.46212 indri
10001 Q0 chart-1, Wong1, jGenProg, combine: 306 306 0.46212 indri
10001 Q0 chart-1, Wong1, jKali, combine: 307 307 0.46212 indri
10001 Q0 chart-1, Wong1, jMutRepair, combine: 308 308 0.46212 indri
10001 Q0 chart-1, Wong2, ACS, combine: 309 309 0.46212 indri
10001 Q0 chart-1, Wong2, Nopol, combine: 310 310 0.46212 indri
10001 Q0 chart-1, Wong2, SimFix, combine: 311 311 0.46212 indri
10001 Q0 chart-1, Wong2, TBar, combine: 312 312 0.46212 indri
10001 Q0 chart-1, Wong2, jGenProg, combine: 313 313 0.46212 indri
10001 Q0 chart-1, Wong2, jKali, combine: 314 314 0.46212 indri
10001 Q0 chart-1, Wong2, jMutRepair, combine: 315 315 0.46212 indri
10001 Q0 chart-1, Wong3, ACS, combine: 316 316 0.46212 indri
10001 Q0 chart-1, Wong3, Nopol, combine: 317 317 0.46212 indri
10001 Q0 chart-1, Wong3, SimFix, combine: 318 318 0.46212 indri
10001 Q0 chart-1, Wong3, TBar, combine: 319 319 0.46212 indri
10001 Q0 chart-1, Wong3, jGenProg, combine: 320 320 0.46212 indri
10001 Q0 chart-1, Wong3, jKali, combine: 321 321 0.46212 indri
10001 Q0 chart-1, Wong3, jMutRepair, combine: 322 322 0.46212 indri
10001 Q0 chart-1, Zoltar, ACS, combine: 323 323 0.46212 indri
10001 Q0 chart-1, Zoltar, Nopol, combine: 324 324 0.46212 indri
10001 Q0 chart-1, Zoltar, SimFix, combine: 325 325 0.46212 indri
10001 Q0 chart-1, Zoltar, TBar, combine: 326 326 0.46212 indri
10001 Q0 chart-1, Zoltar, jGenProg, combine: 327 327 0.46212 indri
10001 Q0 chart-1, Zoltar, jKali, combine: 328 328 0.46212 indri
10001 Q0 chart-1, Zoltar, jMutRepair, combine: 329 329 0.46212 indri
10002 Q0 chart-2, Ample, ACS, combine: 1 1 0.46212 indri
10002 Q0 chart-2, Ample, Nopol, combine: 2 2 0.46212 indri
10002 Q0 chart-2, Ample, SimFix, combine: 3 3 0.46212 indri
10002 Q0 chart-2, Ample, TBar, combine: 4 4 0.46212 indri
10002 Q0 chart-2, Ample, jGenProg, combine: 5 5 0.46212 indri
10002 Q0 chart-2, Ample, jKali, combine: 6 6 0.46212 indri
10002 Q0 chart-2, Ample, jMutRepair, combine: 7 7 0.46212 indri
10002 Q0 chart-2, Anderberg, ACS, combine: 8 8 0.46212 indri
10002 Q0 chart-2, Anderberg, Nopol, combine: 9 9 0.46212 indri
10002 Q0 chart-2, Anderberg, SimFix, combine: 10 10 0.46212 indri
10002 Q0 chart-2, Anderberg, TBar, combine: 11 11 0.46212 indri
10002 Q0 chart-2, Anderberg, jGenProg, combine: 12 12 0.46212 indri
10002 Q0 chart-2, Anderberg, jKali, combine: 13 13 0.46212 indri
10002 Q0 chart-2, Anderberg, jMutRepair, combine: 14 14 0.46212 indri
10002 Q0 chart-2, ArithmeticMean, ACS, combine: 15 15 0.46212 indri
10002 Q0 chart-2, ArithmeticMean, Nopol, combine: 16 16 0.46212 indri
10002 Q0 chart-2, ArithmeticMean, SimFix, combine: 17 17 0.46212 indri
10002 Q0 chart-2, ArithmeticMean, TBar, combine: 18 18 0.46212 indri
10002 Q0 chart-2, ArithmeticMean, jGenProg, combine: 19 19 0.46212 indri
10002 Q0 chart-2, ArithmeticMean, jKali, combine: 20 20 0.46212 indri
10002 Q0 chart-2, ArithmeticMean, jMutRepair, combine: 21 21 0.46212 indri
10002 Q0 chart-2, BaroniUrbaniBuser, ACS, combine: 22 22 0.46212 indri
10002 Q0 chart-2, BaroniUrbaniBuser, Nopol, combine: 23 23 0.46212 indri
10002 Q0 chart-2, BaroniUrbaniBuser, SimFix, combine: 24 24 0.46212 indri
10002 Q0 chart-2, BaroniUrbaniBuser, TBar, combine: 25 25 0.46212 indri
10002 Q0 chart-2, BaroniUrbaniBuser, jGenProg, combine: 26 26 0.46212 indri
10002 Q0 chart-2, BaroniUrbaniBuser, jKali, combine: 27 27 0.46212 indri
10002 Q0 chart-2, BaroniUrbaniBuser, jMutRepair, combine: 28 28 0.46212 indri
10002 Q0 chart-2, BraunBanqust, ACS, combine: 29 29 0.46212 indri
