10026 Q0 chart-26, Overlap, ACS, combine: 204 1 0.52465 indri
10026 Q0 chart-26, Kulczynski1, ACS, combine: 134 141 0.52295 indri
10026 Q0 chart-26, Kulczynski1, Nopol, combine: 135 142 0.52295 indri
10026 Q0 chart-26, Kulczynski1, SimFix, combine: 136 143 0.52295 indri
10026 Q0 chart-26, Kulczynski1, TBar, combine: 137 144 0.52295 indri
10026 Q0 chart-26, Kulczynski1, jGenProg, combine: 138 145 0.52295 indri
10026 Q0 chart-26, Kulczynski1, jKali, combine: 139 146 0.52295 indri
10026 Q0 chart-26, Kulczynski1, jMutRepair, combine: 140 147 0.52295 indri
10026 Q0 chart-26, Kulczynskil2, ACS, combine: 141 148 0.52295 indri
10026 Q0 chart-26, Kulczynskil2, Nopol, combine: 142 149 0.52295 indri
10026 Q0 chart-26, Kulczynskil2, SimFix, combine: 143 150 0.52295 indri
10026 Q0 chart-26, Kulczynskil2, TBar, combine: 144 151 0.52295 indri
10026 Q0 chart-26, Kulczynskil2, jGenProg, combine: 145 152 0.52295 indri
10026 Q0 chart-26, Kulczynskil2, jKali, combine: 146 153 0.52295 indri
10026 Q0 chart-26, Kulczynskil2, jMutRepair, combine: 147 154 0.52295 indri
10026 Q0 chart-26, M1, ACS, combine: 148 155 0.52295 indri
10026 Q0 chart-26, M1, Nopol, combine: 149 156 0.52295 indri
10026 Q0 chart-26, M1, SimFix, combine: 150 157 0.52295 indri
10026 Q0 chart-26, M1, TBar, combine: 151 158 0.52295 indri
10026 Q0 chart-26, M1, jGenProg, combine: 152 159 0.52295 indri
10026 Q0 chart-26, M1, jKali, combine: 153 160 0.52295 indri
10026 Q0 chart-26, M1, jMutRepair, combine: 154 161 0.52295 indri
10026 Q0 chart-26, M2, ACS, combine: 155 162 0.52295 indri
10026 Q0 chart-26, M2, Nopol, combine: 156 163 0.52295 indri
10026 Q0 chart-26, M2, SimFix, combine: 157 164 0.52295 indri
10026 Q0 chart-26, M2, TBar, combine: 158 165 0.52295 indri
10026 Q0 chart-26, M2, jGenProg, combine: 159 166 0.52295 indri
10026 Q0 chart-26, M2, jKali, combine: 160 167 0.52295 indri
10026 Q0 chart-26, M2, jMutRepair, combine: 161 168 0.52295 indri
10026 Q0 chart-26, Michael, ACS, combine: 162 169 0.52295 indri
10026 Q0 chart-26, Michael, Nopol, combine: 163 170 0.52295 indri
10026 Q0 chart-26, Michael, SimFix, combine: 164 171 0.52295 indri
10026 Q0 chart-26, Michael, TBar, combine: 165 172 0.52295 indri
10026 Q0 chart-26, Michael, jGenProg, combine: 166 173 0.52295 indri
10026 Q0 chart-26, Michael, jKali, combine: 167 174 0.52295 indri
10026 Q0 chart-26, Michael, jMutRepair, combine: 168 175 0.52295 indri
10026 Q0 chart-26, Mountford, ACS, combine: 169 176 0.52295 indri
10026 Q0 chart-26, Mountford, Nopol, combine: 170 177 0.52295 indri
10026 Q0 chart-26, Mountford, SimFix, combine: 171 178 0.52295 indri
10026 Q0 chart-26, Mountford, TBar, combine: 172 179 0.52295 indri
10026 Q0 chart-26, Mountford, jGenProg, combine: 173 180 0.52295 indri
10026 Q0 chart-26, Mountford, jKali, combine: 174 181 0.52295 indri
10026 Q0 chart-26, Mountford, jMutRepair, combine: 175 182 0.52295 indri
10026 Q0 chart-26, Ochiai, ACS, combine: 176 183 0.52295 indri
10026 Q0 chart-26, Ochiai, Nopol, combine: 177 184 0.52295 indri
10026 Q0 chart-26, Ochiai, SimFix, combine: 178 185 0.52295 indri
10026 Q0 chart-26, Ochiai, TBar, combine: 179 186 0.52295 indri
10026 Q0 chart-26, Ochiai, jGenProg, combine: 180 187 0.52295 indri
10026 Q0 chart-26, Ochiai, jKali, combine: 181 188 0.52295 indri
10026 Q0 chart-26, Ochiai, jMutRepair, combine: 182 189 0.52295 indri
10026 Q0 chart-26, Ochiai2, ACS, combine: 183 190 0.52295 indri
10026 Q0 chart-26, Ochiai2, Nopol, combine: 184 191 0.52295 indri
10026 Q0 chart-26, Ochiai2, SimFix, combine: 185 192 0.52295 indri
10026 Q0 chart-26, Ochiai2, TBar, combine: 186 193 0.52295 indri
10026 Q0 chart-26, Ochiai2, jGenProg, combine: 187 194 0.52295 indri
10026 Q0 chart-26, Ochiai2, jKali, combine: 188 195 0.52295 indri
10026 Q0 chart-26, Ochiai2, jMutRepair, combine: 189 196 0.52295 indri
10026 Q0 chart-26, Optimal, ACS, combine: 190 197 0.52295 indri
10026 Q0 chart-26, Optimal, Nopol, combine: 191 198 0.52295 indri
10026 Q0 chart-26, Optimal, SimFix, combine: 192 199 0.52295 indri
10026 Q0 chart-26, Optimal, TBar, combine: 193 200 0.52295 indri
10026 Q0 chart-26, Optimal, jGenProg, combine: 194 201 0.52295 indri
10026 Q0 chart-26, Optimal, jKali, combine: 195 202 0.52295 indri
10026 Q0 chart-26, Optimal, jMutRepair, combine: 196 203 0.52295 indri
10026 Q0 chart-26, OptimalP, ACS, combine: 197 204 0.52295 indri
10026 Q0 chart-26, OptimalP, Nopol, combine: 198 205 0.52295 indri
10026 Q0 chart-26, OptimalP, SimFix, combine: 199 206 0.52295 indri
10026 Q0 chart-26, OptimalP, TBar, combine: 200 207 0.52295 indri
10026 Q0 chart-26, OptimalP, jGenProg, combine: 201 208 0.52295 indri
10026 Q0 chart-26, OptimalP, jKali, combine: 202 209 0.52295 indri
10026 Q0 chart-26, OptimalP, jMutRepair, combine: 203 210 0.52295 indri
10026 Q0 chart-26, Phi, ACS, combine: 211 211 0.52295 indri
10026 Q0 chart-26, Phi, Nopol, combine: 212 212 0.52295 indri
10026 Q0 chart-26, Phi, SimFix, combine: 213 213 0.52295 indri
10026 Q0 chart-26, Phi, TBar, combine: 214 214 0.52295 indri
10026 Q0 chart-26, Phi, jGenProg, combine: 215 215 0.52295 indri
10026 Q0 chart-26, Phi, jKali, combine: 216 216 0.52295 indri
10026 Q0 chart-26, Phi, jMutRepair, combine: 217 217 0.52295 indri
10026 Q0 chart-26, Pierce, ACS, combine: 218 218 0.52295 indri
10026 Q0 chart-26, Pierce, Nopol, combine: 219 219 0.52295 indri
10026 Q0 chart-26, Pierce, SimFix, combine: 220 220 0.52295 indri
10026 Q0 chart-26, Pierce, TBar, combine: 221 221 0.52295 indri
10026 Q0 chart-26, Pierce, jGenProg, combine: 222 222 0.52295 indri
10026 Q0 chart-26, Pierce, jKali, combine: 223 223 0.52295 indri
10026 Q0 chart-26, Pierce, jMutRepair, combine: 224 224 0.52295 indri
10026 Q0 chart-26, RogersTanimoto, ACS, combine: 225 225 0.52295 indri
10026 Q0 chart-26, RogersTanimoto, Nopol, combine: 226 226 0.52295 indri
10026 Q0 chart-26, RogersTanimoto, SimFix, combine: 227 227 0.52295 indri
10026 Q0 chart-26, RogersTanimoto, TBar, combine: 228 228 0.52295 indri
10026 Q0 chart-26, RogersTanimoto, jGenProg, combine: 229 229 0.52295 indri
10026 Q0 chart-26, RogersTanimoto, jKali, combine: 230 230 0.52295 indri
10026 Q0 chart-26, RogersTanimoto, jMutRepair, combine: 231 231 0.52295 indri
10026 Q0 chart-26, Rogot1, ACS, combine: 232 232 0.52295 indri
10026 Q0 chart-26, Rogot1, Nopol, combine: 233 233 0.52295 indri
10026 Q0 chart-26, Rogot1, SimFix, combine: 234 234 0.52295 indri
10026 Q0 chart-26, Rogot1, TBar, combine: 235 235 0.52295 indri
10026 Q0 chart-26, Rogot1, jGenProg, combine: 236 236 0.52295 indri
10026 Q0 chart-26, Rogot1, jKali, combine: 237 237 0.52295 indri
10026 Q0 chart-26, Rogot1, jMutRepair, combine: 238 238 0.52295 indri
10026 Q0 chart-26, Rogot2, ACS, combine: 239 239 0.52295 indri
10026 Q0 chart-26, Rogot2, Nopol, combine: 240 240 0.52295 indri
10026 Q0 chart-26, Rogot2, SimFix, combine: 241 241 0.52295 indri
10026 Q0 chart-26, Rogot2, TBar, combine: 242 242 0.52295 indri
10026 Q0 chart-26, Rogot2, jGenProg, combine: 243 243 0.52295 indri
10026 Q0 chart-26, Rogot2, jKali, combine: 244 244 0.52295 indri
10026 Q0 chart-26, Rogot2, jMutRepair, combine: 245 245 0.52295 indri
10026 Q0 chart-26, RussellRao, ACS, combine: 246 246 0.52295 indri
10026 Q0 chart-26, RussellRao, Nopol, combine: 247 247 0.52295 indri
10026 Q0 chart-26, RussellRao, SimFix, combine: 248 248 0.52295 indri
10026 Q0 chart-26, RussellRao, TBar, combine: 249 249 0.52295 indri
10026 Q0 chart-26, RussellRao, jGenProg, combine: 250 250 0.52295 indri
10026 Q0 chart-26, RussellRao, jKali, combine: 251 251 0.52295 indri
10026 Q0 chart-26, RussellRao, jMutRepair, combine: 252 252 0.52295 indri
10026 Q0 chart-26, SBI, ACS, combine: 253 253 0.52295 indri
10026 Q0 chart-26, SBI, Nopol, combine: 254 254 0.52295 indri
10026 Q0 chart-26, SBI, SimFix, combine: 255 255 0.52295 indri
10026 Q0 chart-26, SBI, TBar, combine: 256 256 0.52295 indri
10026 Q0 chart-26, SBI, jGenProg, combine: 257 257 0.52295 indri
10026 Q0 chart-26, SBI, jKali, combine: 258 258 0.52295 indri
10026 Q0 chart-26, SBI, jMutRepair, combine: 259 259 0.52295 indri
10026 Q0 chart-26, Scott, ACS, combine: 260 260 0.52295 indri
10026 Q0 chart-26, Scott, Nopol, combine: 261 261 0.52295 indri
10026 Q0 chart-26, Scott, SimFix, combine: 262 262 0.52295 indri
10026 Q0 chart-26, Scott, TBar, combine: 263 263 0.52295 indri
10026 Q0 chart-26, Scott, jGenProg, combine: 264 264 0.52295 indri
10026 Q0 chart-26, Scott, jKali, combine: 265 265 0.52295 indri
10026 Q0 chart-26, Scott, jMutRepair, combine: 266 266 0.52295 indri
10026 Q0 chart-26, SimpleMatching, ACS, combine: 267 267 0.52295 indri
10026 Q0 chart-26, SimpleMatching, Nopol, combine: 268 268 0.52295 indri
10026 Q0 chart-26, SimpleMatching, SimFix, combine: 269 269 0.52295 indri
10026 Q0 chart-26, SimpleMatching, TBar, combine: 270 270 0.52295 indri
10026 Q0 chart-26, SimpleMatching, jGenProg, combine: 271 271 0.52295 indri
10026 Q0 chart-26, SimpleMatching, jKali, combine: 272 272 0.52295 indri
10026 Q0 chart-26, SimpleMatching, jMutRepair, combine: 273 273 0.52295 indri
10026 Q0 chart-26, Sokal, ACS, combine: 274 274 0.52295 indri
10026 Q0 chart-26, Sokal, Nopol, combine: 275 275 0.52295 indri
10026 Q0 chart-26, Sokal, SimFix, combine: 276 276 0.52295 indri
10026 Q0 chart-26, Sokal, TBar, combine: 277 277 0.52295 indri
10026 Q0 chart-26, Sokal, jGenProg, combine: 278 278 0.52295 indri
10026 Q0 chart-26, Sokal, jKali, combine: 279 279 0.52295 indri
10026 Q0 chart-26, Sokal, jMutRepair, combine: 280 280 0.52295 indri
10026 Q0 chart-26, SorensenDice, ACS, combine: 281 281 0.52295 indri
10026 Q0 chart-26, SorensenDice, Nopol, combine: 282 282 0.52295 indri
10026 Q0 chart-26, SorensenDice, SimFix, combine: 283 283 0.52295 indri
10026 Q0 chart-26, SorensenDice, TBar, combine: 284 284 0.52295 indri
10026 Q0 chart-26, SorensenDice, jGenProg, combine: 285 285 0.52295 indri
10026 Q0 chart-26, SorensenDice, jKali, combine: 286 286 0.52295 indri
10026 Q0 chart-26, SorensenDice, jMutRepair, combine: 287 287 0.52295 indri
10026 Q0 chart-26, Tarantula, ACS, combine: 288 288 0.52295 indri
10026 Q0 chart-26, Tarantula, Nopol, combine: 289 289 0.52295 indri
10026 Q0 chart-26, Tarantula, SimFix, combine: 290 290 0.52295 indri
10026 Q0 chart-26, Tarantula, TBar, combine: 291 291 0.52295 indri
10026 Q0 chart-26, Tarantula, jGenProg, combine: 292 292 0.52295 indri
10026 Q0 chart-26, Tarantula, jKali, combine: 293 293 0.52295 indri
10026 Q0 chart-26, Tarantula, jMutRepair, combine: 294 294 0.52295 indri
10026 Q0 chart-26, Tarwid, ACS, combine: 295 295 0.52295 indri
10026 Q0 chart-26, Tarwid, Nopol, combine: 296 296 0.52295 indri
10026 Q0 chart-26, Tarwid, SimFix, combine: 297 297 0.52295 indri
10026 Q0 chart-26, Tarwid, TBar, combine: 298 298 0.52295 indri
10026 Q0 chart-26, Tarwid, jGenProg, combine: 299 299 0.52295 indri
10026 Q0 chart-26, Tarwid, jKali, combine: 300 300 0.52295 indri
10026 Q0 chart-26, Tarwid, jMutRepair, combine: 301 301 0.52295 indri
10026 Q0 chart-26, Wong1, ACS, combine: 302 302 0.52295 indri
10026 Q0 chart-26, Wong1, Nopol, combine: 303 303 0.52295 indri
10026 Q0 chart-26, Wong1, SimFix, combine: 304 304 0.52295 indri
10026 Q0 chart-26, Wong1, TBar, combine: 305 305 0.52295 indri
10026 Q0 chart-26, Wong1, jGenProg, combine: 306 306 0.52295 indri
10026 Q0 chart-26, Wong1, jKali, combine: 307 307 0.52295 indri
10026 Q0 chart-26, Wong1, jMutRepair, combine: 308 308 0.52295 indri
10026 Q0 chart-26, Wong2, ACS, combine: 309 309 0.52295 indri
10026 Q0 chart-26, Wong2, Nopol, combine: 310 310 0.52295 indri
10026 Q0 chart-26, Wong2, SimFix, combine: 311 311 0.52295 indri
10026 Q0 chart-26, Wong2, TBar, combine: 312 312 0.52295 indri
10026 Q0 chart-26, Wong2, jGenProg, combine: 313 313 0.52295 indri
10026 Q0 chart-26, Wong2, jKali, combine: 314 314 0.52295 indri
10026 Q0 chart-26, Wong2, jMutRepair, combine: 315 315 0.52295 indri
10026 Q0 chart-26, Wong3, ACS, combine: 316 316 0.52295 indri
10026 Q0 chart-26, Wong3, Nopol, combine: 317 317 0.52295 indri
10026 Q0 chart-26, Wong3, SimFix, combine: 318 318 0.52295 indri
10026 Q0 chart-26, Wong3, TBar, combine: 319 319 0.52295 indri
10026 Q0 chart-26, Wong3, jGenProg, combine: 320 320 0.52295 indri
10026 Q0 chart-26, Wong3, jKali, combine: 321 321 0.52295 indri
10026 Q0 chart-26, Wong3, jMutRepair, combine: 322 322 0.52295 indri
10026 Q0 chart-26, Zoltar, ACS, combine: 323 323 0.52295 indri
10026 Q0 chart-26, Zoltar, Nopol, combine: 324 324 0.52295 indri
10026 Q0 chart-26, Zoltar, SimFix, combine: 325 325 0.52295 indri
10026 Q0 chart-26, Zoltar, TBar, combine: 326 326 0.52295 indri
10026 Q0 chart-26, Zoltar, jGenProg, combine: 327 327 0.52295 indri
10026 Q0 chart-26, Zoltar, jKali, combine: 328 328 0.52295 indri
10026 Q0 chart-26, Zoltar, jMutRepair, combine: 329 329 0.52295 indri
