10001 Q0 chart-1, Ample, SimFix, combine: 3 1 0.55337 indri
10001 Q0 chart-1, Cohen, jMutRepair, combine: 42 30 0.55337 indri
10001 Q0 chart-1, Dennis, SimFix, combine: 45 31 0.55337 indri
10001 Q0 chart-1, Dennis, TBar, combine: 46 32 0.55337 indri
10001 Q0 chart-1, Dennis, jGenProg, combine: 47 33 0.55337 indri
10001 Q0 chart-1, Dennis, jKali, combine: 48 34 0.55337 indri
10001 Q0 chart-1, Dennis, jMutRepair, combine: 49 35 0.55337 indri
10001 Q0 chart-1, Dice, SimFix, combine: 52 36 0.55337 indri
10001 Q0 chart-1, Dice, TBar, combine: 53 37 0.55337 indri
10001 Q0 chart-1, Dice, jGenProg, combine: 54 38 0.55337 indri
10001 Q0 chart-1, Dice, jKali, combine: 55 39 0.55337 indri
10001 Q0 chart-1, Dice, jMutRepair, combine: 56 40 0.55337 indri
10001 Q0 chart-1, Dstar, SimFix, combine: 59 41 0.55337 indri
10001 Q0 chart-1, Dstar, TBar, combine: 60 42 0.55337 indri
10001 Q0 chart-1, Dstar, jGenProg, combine: 61 43 0.55337 indri
10001 Q0 chart-1, Dstar, jKali, combine: 62 44 0.55337 indri
10001 Q0 chart-1, Dstar, jMutRepair, combine: 63 45 0.55337 indri
10001 Q0 chart-1, Euclid, SimFix, combine: 66 46 0.55337 indri
10001 Q0 chart-1, Euclid, TBar, combine: 67 47 0.55337 indri
10001 Q0 chart-1, Euclid, jGenProg, combine: 68 48 0.55337 indri
10001 Q0 chart-1, Euclid, jKali, combine: 69 49 0.55337 indri
10001 Q0 chart-1, Euclid, jMutRepair, combine: 70 50 0.55337 indri
10001 Q0 chart-1, Fleiss, SimFix, combine: 73 51 0.55337 indri
10001 Q0 chart-1, Fleiss, TBar, combine: 74 52 0.55337 indri
10001 Q0 chart-1, Fleiss, jGenProg, combine: 75 53 0.55337 indri
10001 Q0 chart-1, Fleiss, jKali, combine: 76 54 0.55337 indri
10001 Q0 chart-1, Fleiss, jMutRepair, combine: 77 55 0.55337 indri
10001 Q0 chart-1, Fossum, SimFix, combine: 80 56 0.55337 indri
10001 Q0 chart-1, Fossum, TBar, combine: 81 57 0.55337 indri
10001 Q0 chart-1, Fossum, jGenProg, combine: 82 58 0.55337 indri
10001 Q0 chart-1, Fossum, jKali, combine: 83 59 0.55337 indri
10001 Q0 chart-1, Fossum, jMutRepair, combine: 84 60 0.55337 indri
10001 Q0 chart-1, Goodman, SimFix, combine: 87 61 0.55337 indri
10001 Q0 chart-1, Goodman, TBar, combine: 88 62 0.55337 indri
10001 Q0 chart-1, Goodman, jGenProg, combine: 89 63 0.55337 indri
10001 Q0 chart-1, Goodman, jKali, combine: 90 64 0.55337 indri
10001 Q0 chart-1, Goodman, jMutRepair, combine: 91 65 0.55337 indri
10001 Q0 chart-1, Gower, SimFix, combine: 94 66 0.55337 indri
10001 Q0 chart-1, Gower, TBar, combine: 95 67 0.55337 indri
10001 Q0 chart-1, Gower, jGenProg, combine: 96 68 0.55337 indri
10001 Q0 chart-1, Gower, jKali, combine: 97 69 0.55337 indri
10001 Q0 chart-1, Gower, jMutRepair, combine: 98 70 0.55337 indri
10001 Q0 chart-1, GP13, SimFix, combine: 101 71 0.55337 indri
10001 Q0 chart-1, GP13, TBar, combine: 102 72 0.55337 indri
10001 Q0 chart-1, GP13, jGenProg, combine: 103 73 0.55337 indri
10001 Q0 chart-1, GP13, jKali, combine: 104 74 0.55337 indri
10001 Q0 chart-1, GP13, jMutRepair, combine: 105 75 0.55337 indri
10001 Q0 chart-1, Hamann, SimFix, combine: 108 76 0.55337 indri
10001 Q0 chart-1, Hamann, TBar, combine: 109 77 0.55337 indri
10001 Q0 chart-1, Hamann, jGenProg, combine: 110 78 0.55337 indri
10001 Q0 chart-1, Hamann, jKali, combine: 111 79 0.55337 indri
10001 Q0 chart-1, Hamann, jMutRepair, combine: 112 80 0.55337 indri
10001 Q0 chart-1, Hamming, SimFix, combine: 115 81 0.55337 indri
10001 Q0 chart-1, Hamming, TBar, combine: 116 82 0.55337 indri
10001 Q0 chart-1, Hamming, jGenProg, combine: 117 83 0.55337 indri
10001 Q0 chart-1, Hamming, jKali, combine: 118 84 0.55337 indri
10001 Q0 chart-1, Hamming, jMutRepair, combine: 119 85 0.55337 indri
10001 Q0 chart-1, HarmonicMean, SimFix, combine: 122 86 0.55337 indri
10001 Q0 chart-1, HarmonicMean, TBar, combine: 123 87 0.55337 indri
10001 Q0 chart-1, HarmonicMean, jGenProg, combine: 124 88 0.55337 indri
10001 Q0 chart-1, HarmonicMean, jKali, combine: 125 89 0.55337 indri
10001 Q0 chart-1, HarmonicMean, jMutRepair, combine: 126 90 0.55337 indri
10001 Q0 chart-1, Jaccard, SimFix, combine: 129 91 0.55337 indri
10001 Q0 chart-1, Jaccard, TBar, combine: 130 92 0.55337 indri
10001 Q0 chart-1, Jaccard, jGenProg, combine: 131 93 0.55337 indri
10001 Q0 chart-1, Jaccard, jKali, combine: 132 94 0.55337 indri
10001 Q0 chart-1, Jaccard, jMutRepair, combine: 133 95 0.55337 indri
10001 Q0 chart-1, Kulczynski1, SimFix, combine: 136 96 0.55337 indri
10001 Q0 chart-1, Kulczynski1, TBar, combine: 137 97 0.55337 indri
10001 Q0 chart-1, Kulczynski1, jGenProg, combine: 138 98 0.55337 indri
10001 Q0 chart-1, Kulczynski1, jKali, combine: 139 99 0.55337 indri
10001 Q0 chart-1, Kulczynski1, jMutRepair, combine: 140 100 0.55337 indri
10001 Q0 chart-1, Kulczynskil2, SimFix, combine: 143 101 0.55337 indri
10001 Q0 chart-1, Kulczynskil2, TBar, combine: 144 102 0.55337 indri
10001 Q0 chart-1, Kulczynskil2, jGenProg, combine: 145 103 0.55337 indri
10001 Q0 chart-1, Kulczynskil2, jKali, combine: 146 104 0.55337 indri
10001 Q0 chart-1, Kulczynskil2, jMutRepair, combine: 147 105 0.55337 indri
10001 Q0 chart-1, M1, SimFix, combine: 150 106 0.55337 indri
10001 Q0 chart-1, M1, TBar, combine: 151 107 0.55337 indri
10001 Q0 chart-1, M1, jGenProg, combine: 152 108 0.55337 indri
10001 Q0 chart-1, M1, jKali, combine: 153 109 0.55337 indri
10001 Q0 chart-1, M1, jMutRepair, combine: 154 110 0.55337 indri
10001 Q0 chart-1, M2, SimFix, combine: 157 111 0.55337 indri
10001 Q0 chart-1, M2, TBar, combine: 158 112 0.55337 indri
10001 Q0 chart-1, M2, jGenProg, combine: 159 113 0.55337 indri
10001 Q0 chart-1, M2, jKali, combine: 160 114 0.55337 indri
10001 Q0 chart-1, M2, jMutRepair, combine: 161 115 0.55337 indri
10001 Q0 chart-1, Michael, SimFix, combine: 164 116 0.55337 indri
10001 Q0 chart-1, Michael, TBar, combine: 165 117 0.55337 indri
10001 Q0 chart-1, Michael, jGenProg, combine: 166 118 0.55337 indri
10001 Q0 chart-1, Michael, jKali, combine: 167 119 0.55337 indri
10001 Q0 chart-1, Michael, jMutRepair, combine: 168 120 0.55337 indri
10001 Q0 chart-1, Mountford, SimFix, combine: 171 121 0.55337 indri
10001 Q0 chart-1, Mountford, TBar, combine: 172 122 0.55337 indri
10001 Q0 chart-1, Mountford, jGenProg, combine: 173 123 0.55337 indri
10001 Q0 chart-1, Mountford, jKali, combine: 174 124 0.55337 indri
10001 Q0 chart-1, Mountford, jMutRepair, combine: 175 125 0.55337 indri
10001 Q0 chart-1, Ochiai, SimFix, combine: 178 126 0.55337 indri
10001 Q0 chart-1, Ochiai, TBar, combine: 179 127 0.55337 indri
10001 Q0 chart-1, Ochiai, jGenProg, combine: 180 128 0.55337 indri
10001 Q0 chart-1, Ochiai, jKali, combine: 181 129 0.55337 indri
10001 Q0 chart-1, Ochiai, jMutRepair, combine: 182 130 0.55337 indri
10001 Q0 chart-1, Ochiai2, SimFix, combine: 185 131 0.55337 indri
10001 Q0 chart-1, Ochiai2, TBar, combine: 186 132 0.55337 indri
10001 Q0 chart-1, Ochiai2, jGenProg, combine: 187 133 0.55337 indri
10001 Q0 chart-1, Ochiai2, jKali, combine: 188 134 0.55337 indri
10001 Q0 chart-1, Ochiai2, jMutRepair, combine: 189 135 0.55337 indri
10001 Q0 chart-1, Optimal, SimFix, combine: 192 136 0.55337 indri
10001 Q0 chart-1, Optimal, TBar, combine: 193 137 0.55337 indri
10001 Q0 chart-1, Optimal, jGenProg, combine: 194 138 0.55337 indri
10001 Q0 chart-1, Optimal, jKali, combine: 195 139 0.55337 indri
10001 Q0 chart-1, Optimal, jMutRepair, combine: 196 140 0.55337 indri
10001 Q0 chart-1, OptimalP, SimFix, combine: 199 141 0.55337 indri
10001 Q0 chart-1, OptimalP, TBar, combine: 200 142 0.55337 indri
10001 Q0 chart-1, OptimalP, jGenProg, combine: 201 143 0.55337 indri
10001 Q0 chart-1, OptimalP, jKali, combine: 202 144 0.55337 indri
10001 Q0 chart-1, OptimalP, jMutRepair, combine: 203 145 0.55337 indri
10001 Q0 chart-1, Overlap, SimFix, combine: 206 146 0.55337 indri
10001 Q0 chart-1, Overlap, TBar, combine: 207 147 0.55337 indri
10001 Q0 chart-1, Overlap, jGenProg, combine: 208 148 0.55337 indri
10001 Q0 chart-1, Overlap, jKali, combine: 209 149 0.55337 indri
10001 Q0 chart-1, Overlap, jMutRepair, combine: 210 150 0.55337 indri
10001 Q0 chart-1, Phi, SimFix, combine: 213 151 0.55337 indri
10001 Q0 chart-1, Phi, TBar, combine: 214 152 0.55337 indri
10001 Q0 chart-1, Phi, jGenProg, combine: 215 153 0.55337 indri
10001 Q0 chart-1, Phi, jKali, combine: 216 154 0.55337 indri
10001 Q0 chart-1, Phi, jMutRepair, combine: 217 155 0.55337 indri
10001 Q0 chart-1, Pierce, SimFix, combine: 220 156 0.55337 indri
10001 Q0 chart-1, Pierce, TBar, combine: 221 157 0.55337 indri
10001 Q0 chart-1, Pierce, jGenProg, combine: 222 158 0.55337 indri
10001 Q0 chart-1, Pierce, jKali, combine: 223 159 0.55337 indri
10001 Q0 chart-1, Pierce, jMutRepair, combine: 224 160 0.55337 indri
10001 Q0 chart-1, RogersTanimoto, SimFix, combine: 227 161 0.55337 indri
10001 Q0 chart-1, RogersTanimoto, TBar, combine: 228 162 0.55337 indri
10001 Q0 chart-1, RogersTanimoto, jGenProg, combine: 229 163 0.55337 indri
10001 Q0 chart-1, RogersTanimoto, jKali, combine: 230 164 0.55337 indri
10001 Q0 chart-1, RogersTanimoto, jMutRepair, combine: 231 165 0.55337 indri
10001 Q0 chart-1, Rogot1, SimFix, combine: 234 166 0.55337 indri
10001 Q0 chart-1, Rogot1, TBar, combine: 235 167 0.55337 indri
10001 Q0 chart-1, Rogot1, jGenProg, combine: 236 168 0.55337 indri
10001 Q0 chart-1, Rogot1, jKali, combine: 237 169 0.55337 indri
10001 Q0 chart-1, Rogot1, jMutRepair, combine: 238 170 0.55337 indri
10001 Q0 chart-1, Rogot2, SimFix, combine: 241 171 0.55337 indri
10001 Q0 chart-1, Rogot2, TBar, combine: 242 172 0.55337 indri
10001 Q0 chart-1, Rogot2, jGenProg, combine: 243 173 0.55337 indri
10001 Q0 chart-1, Rogot2, jKali, combine: 244 174 0.55337 indri
10001 Q0 chart-1, Rogot2, jMutRepair, combine: 245 175 0.55337 indri
10001 Q0 chart-1, RussellRao, SimFix, combine: 248 176 0.55337 indri
10001 Q0 chart-1, RussellRao, TBar, combine: 249 177 0.55337 indri
10001 Q0 chart-1, RussellRao, jGenProg, combine: 250 178 0.55337 indri
10001 Q0 chart-1, RussellRao, jKali, combine: 251 179 0.55337 indri
10001 Q0 chart-1, RussellRao, jMutRepair, combine: 252 180 0.55337 indri
10001 Q0 chart-1, SBI, SimFix, combine: 255 181 0.55337 indri
10001 Q0 chart-1, SBI, TBar, combine: 256 182 0.55337 indri
10001 Q0 chart-1, SBI, jGenProg, combine: 257 183 0.55337 indri
10001 Q0 chart-1, SBI, jKali, combine: 258 184 0.55337 indri
10001 Q0 chart-1, SBI, jMutRepair, combine: 259 185 0.55337 indri
10001 Q0 chart-1, Scott, SimFix, combine: 262 186 0.55337 indri
10001 Q0 chart-1, Scott, TBar, combine: 263 187 0.55337 indri
10001 Q0 chart-1, Scott, jGenProg, combine: 264 188 0.55337 indri
10001 Q0 chart-1, Scott, jKali, combine: 265 189 0.55337 indri
10001 Q0 chart-1, Scott, jMutRepair, combine: 266 190 0.55337 indri
10001 Q0 chart-1, SimpleMatching, SimFix, combine: 269 191 0.55337 indri
10001 Q0 chart-1, SimpleMatching, TBar, combine: 270 192 0.55337 indri
10001 Q0 chart-1, SimpleMatching, jGenProg, combine: 271 193 0.55337 indri
10001 Q0 chart-1, SimpleMatching, jKali, combine: 272 194 0.55337 indri
10001 Q0 chart-1, SimpleMatching, jMutRepair, combine: 273 195 0.55337 indri
10001 Q0 chart-1, Sokal, SimFix, combine: 276 196 0.55337 indri
10001 Q0 chart-1, Sokal, TBar, combine: 277 197 0.55337 indri
10001 Q0 chart-1, Sokal, jGenProg, combine: 278 198 0.55337 indri
10001 Q0 chart-1, Sokal, jKali, combine: 279 199 0.55337 indri
10001 Q0 chart-1, Sokal, jMutRepair, combine: 280 200 0.55337 indri
10001 Q0 chart-1, SorensenDice, SimFix, combine: 283 201 0.55337 indri
10001 Q0 chart-1, SorensenDice, TBar, combine: 284 202 0.55337 indri
10001 Q0 chart-1, SorensenDice, jGenProg, combine: 285 203 0.55337 indri
10001 Q0 chart-1, SorensenDice, jKali, combine: 286 204 0.55337 indri
10001 Q0 chart-1, SorensenDice, jMutRepair, combine: 287 205 0.55337 indri
10001 Q0 chart-1, Tarantula, SimFix, combine: 290 206 0.55337 indri
10001 Q0 chart-1, Tarantula, TBar, combine: 291 207 0.55337 indri
10001 Q0 chart-1, Tarantula, jGenProg, combine: 292 208 0.55337 indri
10001 Q0 chart-1, Tarantula, jKali, combine: 293 209 0.55337 indri
10001 Q0 chart-1, Tarantula, jMutRepair, combine: 294 210 0.55337 indri
10001 Q0 chart-1, Tarwid, SimFix, combine: 297 211 0.55337 indri
10001 Q0 chart-1, Tarwid, TBar, combine: 298 212 0.55337 indri
10001 Q0 chart-1, Tarwid, jGenProg, combine: 299 213 0.55337 indri
10001 Q0 chart-1, Tarwid, jKali, combine: 300 214 0.55337 indri
10001 Q0 chart-1, Tarwid, jMutRepair, combine: 301 215 0.55337 indri
10001 Q0 chart-1, Wong1, SimFix, combine: 304 216 0.55337 indri
10001 Q0 chart-1, Wong1, TBar, combine: 305 217 0.55337 indri
10001 Q0 chart-1, Wong1, jGenProg, combine: 306 218 0.55337 indri
10001 Q0 chart-1, Wong1, jKali, combine: 307 219 0.55337 indri
10001 Q0 chart-1, Wong1, jMutRepair, combine: 308 220 0.55337 indri
10001 Q0 chart-1, Wong2, SimFix, combine: 311 221 0.55337 indri
10001 Q0 chart-1, Wong2, TBar, combine: 312 222 0.55337 indri
10001 Q0 chart-1, Wong2, jGenProg, combine: 313 223 0.55337 indri
10001 Q0 chart-1, Wong2, jKali, combine: 314 224 0.55337 indri
10001 Q0 chart-1, Wong2, jMutRepair, combine: 315 225 0.55337 indri
10001 Q0 chart-1, Wong3, SimFix, combine: 318 226 0.55337 indri
10001 Q0 chart-1, Wong3, TBar, combine: 319 227 0.55337 indri
10001 Q0 chart-1, Wong3, jGenProg, combine: 320 228 0.55337 indri
10001 Q0 chart-1, Wong3, jKali, combine: 321 229 0.55337 indri
10001 Q0 chart-1, Wong3, jMutRepair, combine: 322 230 0.55337 indri
10001 Q0 chart-1, Zoltar, SimFix, combine: 325 231 0.55337 indri
10001 Q0 chart-1, Zoltar, TBar, combine: 326 232 0.55337 indri
10001 Q0 chart-1, Zoltar, jGenProg, combine: 327 233 0.55337 indri
10001 Q0 chart-1, Zoltar, jKali, combine: 328 234 0.55337 indri
10001 Q0 chart-1, Zoltar, jMutRepair, combine: 329 235 0.55337 indri
10001 Q0 chart-1, Ample, ACS, combine: 1 236 0.5525 indri
10001 Q0 chart-1, Ample, Nopol, combine: 2 237 0.5525 indri
10001 Q0 chart-1, Anderberg, ACS, combine: 8 238 0.5525 indri
10001 Q0 chart-1, Anderberg, Nopol, combine: 9 239 0.5525 indri
10001 Q0 chart-1, ArithmeticMean, ACS, combine: 15 240 0.5525 indri
10001 Q0 chart-1, ArithmeticMean, Nopol, combine: 16 241 0.5525 indri
10001 Q0 chart-1, BaroniUrbaniBuser, ACS, combine: 22 242 0.5525 indri
10001 Q0 chart-1, BaroniUrbaniBuser, Nopol, combine: 23 243 0.5525 indri
10001 Q0 chart-1, BraunBanqust, ACS, combine: 29 244 0.5525 indri
10001 Q0 chart-1, BraunBanqust, Nopol, combine: 30 245 0.5525 indri
10001 Q0 chart-1, Cohen, ACS, combine: 36 246 0.5525 indri
10001 Q0 chart-1, Cohen, Nopol, combine: 37 247 0.5525 indri
10001 Q0 chart-1, Dennis, ACS, combine: 43 248 0.5525 indri
10001 Q0 chart-1, Dennis, Nopol, combine: 44 249 0.5525 indri
10001 Q0 chart-1, Dice, ACS, combine: 50 250 0.5525 indri
10001 Q0 chart-1, Dice, Nopol, combine: 51 251 0.5525 indri
10001 Q0 chart-1, Dstar, ACS, combine: 57 252 0.5525 indri
10001 Q0 chart-1, Dstar, Nopol, combine: 58 253 0.5525 indri
10001 Q0 chart-1, Euclid, ACS, combine: 64 254 0.5525 indri
10001 Q0 chart-1, Euclid, Nopol, combine: 65 255 0.5525 indri
10001 Q0 chart-1, Fleiss, ACS, combine: 71 256 0.5525 indri
10001 Q0 chart-1, Fleiss, Nopol, combine: 72 257 0.5525 indri
10001 Q0 chart-1, Fossum, ACS, combine: 78 258 0.5525 indri
10001 Q0 chart-1, Fossum, Nopol, combine: 79 259 0.5525 indri
10001 Q0 chart-1, Goodman, ACS, combine: 85 260 0.5525 indri
10001 Q0 chart-1, Goodman, Nopol, combine: 86 261 0.5525 indri
10001 Q0 chart-1, Gower, ACS, combine: 92 262 0.5525 indri
10001 Q0 chart-1, Gower, Nopol, combine: 93 263 0.5525 indri
10001 Q0 chart-1, GP13, ACS, combine: 99 264 0.5525 indri
10001 Q0 chart-1, GP13, Nopol, combine: 100 265 0.5525 indri
10001 Q0 chart-1, Hamann, ACS, combine: 106 266 0.5525 indri
10001 Q0 chart-1, Hamann, Nopol, combine: 107 267 0.5525 indri
10001 Q0 chart-1, Hamming, ACS, combine: 113 268 0.5525 indri
10001 Q0 chart-1, Hamming, Nopol, combine: 114 269 0.5525 indri
10001 Q0 chart-1, HarmonicMean, ACS, combine: 120 270 0.5525 indri
10001 Q0 chart-1, HarmonicMean, Nopol, combine: 121 271 0.5525 indri
10001 Q0 chart-1, Jaccard, ACS, combine: 127 272 0.5525 indri
10001 Q0 chart-1, Jaccard, Nopol, combine: 128 273 0.5525 indri
10001 Q0 chart-1, Kulczynski1, ACS, combine: 134 274 0.5525 indri
10001 Q0 chart-1, Kulczynski1, Nopol, combine: 135 275 0.5525 indri
10001 Q0 chart-1, Kulczynskil2, ACS, combine: 141 276 0.5525 indri
10001 Q0 chart-1, Kulczynskil2, Nopol, combine: 142 277 0.5525 indri
10001 Q0 chart-1, M1, ACS, combine: 148 278 0.5525 indri
10001 Q0 chart-1, M1, Nopol, combine: 149 279 0.5525 indri
10001 Q0 chart-1, M2, ACS, combine: 155 280 0.5525 indri
10001 Q0 chart-1, M2, Nopol, combine: 156 281 0.5525 indri
10001 Q0 chart-1, Michael, ACS, combine: 162 282 0.5525 indri
10001 Q0 chart-1, Michael, Nopol, combine: 163 283 0.5525 indri
10001 Q0 chart-1, Mountford, ACS, combine: 169 284 0.5525 indri
10001 Q0 chart-1, Mountford, Nopol, combine: 170 285 0.5525 indri
10001 Q0 chart-1, Ochiai, ACS, combine: 176 286 0.5525 indri
10001 Q0 chart-1, Ochiai, Nopol, combine: 177 287 0.5525 indri
10001 Q0 chart-1, Ochiai2, ACS, combine: 183 288 0.5525 indri
10001 Q0 chart-1, Ochiai2, Nopol, combine: 184 289 0.5525 indri
10001 Q0 chart-1, Optimal, ACS, combine: 190 290 0.5525 indri
10001 Q0 chart-1, Optimal, Nopol, combine: 191 291 0.5525 indri
10001 Q0 chart-1, OptimalP, ACS, combine: 197 292 0.5525 indri
10001 Q0 chart-1, OptimalP, Nopol, combine: 198 293 0.5525 indri
10001 Q0 chart-1, Overlap, ACS, combine: 204 294 0.5525 indri
10001 Q0 chart-1, Overlap, Nopol, combine: 205 295 0.5525 indri
10001 Q0 chart-1, Phi, ACS, combine: 211 296 0.5525 indri
10001 Q0 chart-1, Phi, Nopol, combine: 212 297 0.5525 indri
10001 Q0 chart-1, Pierce, ACS, combine: 218 298 0.5525 indri
10001 Q0 chart-1, Pierce, Nopol, combine: 219 299 0.5525 indri
10001 Q0 chart-1, RogersTanimoto, ACS, combine: 225 300 0.5525 indri
10001 Q0 chart-1, RogersTanimoto, Nopol, combine: 226 301 0.5525 indri
10001 Q0 chart-1, Rogot1, ACS, combine: 232 302 0.5525 indri
10001 Q0 chart-1, Rogot1, Nopol, combine: 233 303 0.5525 indri
10001 Q0 chart-1, Rogot2, ACS, combine: 239 304 0.5525 indri
10001 Q0 chart-1, Rogot2, Nopol, combine: 240 305 0.5525 indri
10001 Q0 chart-1, RussellRao, ACS, combine: 246 306 0.5525 indri
10001 Q0 chart-1, RussellRao, Nopol, combine: 247 307 0.5525 indri
10001 Q0 chart-1, SBI, ACS, combine: 253 308 0.5525 indri
10001 Q0 chart-1, SBI, Nopol, combine: 254 309 0.5525 indri
10001 Q0 chart-1, Scott, ACS, combine: 260 310 0.5525 indri
10001 Q0 chart-1, Scott, Nopol, combine: 261 311 0.5525 indri
10001 Q0 chart-1, SimpleMatching, ACS, combine: 267 312 0.5525 indri
10001 Q0 chart-1, SimpleMatching, Nopol, combine: 268 313 0.5525 indri
10001 Q0 chart-1, Sokal, ACS, combine: 274 314 0.5525 indri
10001 Q0 chart-1, Sokal, Nopol, combine: 275 315 0.5525 indri
10001 Q0 chart-1, SorensenDice, ACS, combine: 281 316 0.5525 indri
10001 Q0 chart-1, SorensenDice, Nopol, combine: 282 317 0.5525 indri
10001 Q0 chart-1, Tarantula, ACS, combine: 288 318 0.5525 indri
10001 Q0 chart-1, Tarantula, Nopol, combine: 289 319 0.5525 indri
10001 Q0 chart-1, Tarwid, ACS, combine: 295 320 0.5525 indri
10001 Q0 chart-1, Tarwid, Nopol, combine: 296 321 0.5525 indri
10001 Q0 chart-1, Wong1, ACS, combine: 302 322 0.5525 indri
10001 Q0 chart-1, Wong1, Nopol, combine: 303 323 0.5525 indri
10001 Q0 chart-1, Wong2, ACS, combine: 309 324 0.5525 indri
10001 Q0 chart-1, Wong2, Nopol, combine: 310 325 0.5525 indri
10001 Q0 chart-1, Wong3, ACS, combine: 316 326 0.5525 indri
10001 Q0 chart-1, Wong3, Nopol, combine: 317 327 0.5525 indri
10001 Q0 chart-1, Zoltar, ACS, combine: 323 328 0.5525 indri
10001 Q0 chart-1, Zoltar, Nopol, combine: 324 329 0.5525 indri
10002 Q0 chart-2, Ample, SimFix, combine: 3 1 0.55337 indri
10002 Q0 chart-2, Ample, TBar, combine: 4 2 0.55337 indri
10002 Q0 chart-2, Anderberg, SimFix, combine: 10 3 0.55337 indri
10002 Q0 chart-2, Anderberg, TBar, combine: 11 4 0.55337 indri
10002 Q0 chart-2, ArithmeticMean, SimFix, combine: 17 5 0.55337 indri
10002 Q0 chart-2, ArithmeticMean, TBar, combine: 18 6 0.55337 indri
10002 Q0 chart-2, BaroniUrbaniBuser, SimFix, combine: 24 7 0.55337 indri
10002 Q0 chart-2, BaroniUrbaniBuser, TBar, combine: 25 8 0.55337 indri
10002 Q0 chart-2, BraunBanqust, SimFix, combine: 31 9 0.55337 indri
10002 Q0 chart-2, BraunBanqust, TBar, combine: 32 10 0.55337 indri
10002 Q0 chart-2, Cohen, SimFix, combine: 38 11 0.55337 indri
10002 Q0 chart-2, Cohen, TBar, combine: 39 12 0.55337 indri
10002 Q0 chart-2, Dennis, SimFix, combine: 45 13 0.55337 indri
10002 Q0 chart-2, Dennis, TBar, combine: 46 14 0.55337 indri
10002 Q0 chart-2, Dice, SimFix, combine: 52 15 0.55337 indri
10002 Q0 chart-2, Dice, TBar, combine: 53 16 0.55337 indri
10002 Q0 chart-2, Dstar, SimFix, combine: 59 17 0.55337 indri
10002 Q0 chart-2, Dstar, TBar, combine: 60 18 0.55337 indri
10002 Q0 chart-2, Euclid, SimFix, combine: 66 19 0.55337 indri
10002 Q0 chart-2, Euclid, TBar, combine: 67 20 0.55337 indri
10002 Q0 chart-2, Fleiss, SimFix, combine: 73 21 0.55337 indri
10002 Q0 chart-2, Fleiss, TBar, combine: 74 22 0.55337 indri
10002 Q0 chart-2, Fossum, SimFix, combine: 80 23 0.55337 indri
10002 Q0 chart-2, Fossum, TBar, combine: 81 24 0.55337 indri
10002 Q0 chart-2, Goodman, SimFix, combine: 87 25 0.55337 indri
10002 Q0 chart-2, Goodman, TBar, combine: 88 26 0.55337 indri
10002 Q0 chart-2, Gower, SimFix, combine: 94 27 0.55337 indri
10002 Q0 chart-2, Gower, TBar, combine: 95 28 0.55337 indri
10002 Q0 chart-2, GP13, SimFix, combine: 101 29 0.55337 indri
10002 Q0 chart-2, GP13, TBar, combine: 102 30 0.55337 indri
10002 Q0 chart-2, Hamann, SimFix, combine: 108 31 0.55337 indri
