0 qid:50001 1:0 2:1 3:1 4:1 5:0.0 #lang-1, DStar, ACS, combine: 1
0 qid:50002 1:0 2:0 3:0 4:0 5:0.0 #lang-2, Ochiai, ACS, combine: 9
0 qid:50002 1:0 2:0 3:0 4:0 5:0.0 #lang-2, Ochiai, Nopol, combine: 10
0 qid:50002 1:0 2:0 3:0 4:0 5:0.0 #lang-2, Ochiai, SimFix, combine: 11
0 qid:50002 1:0 2:0 3:0 4:0 5:0.0 #lang-2, Ochiai, TBar, combine: 12
0 qid:50002 1:0 2:0 3:0 4:0 5:0.0 #lang-2, Tarantula, ACS, combine: 13
0 qid:50002 1:0 2:0 3:0 4:0 5:0.0 #lang-2, Tarantula, Nopol, combine: 14
0 qid:50002 1:0 2:0 3:0 4:0 5:0.0 #lang-2, Tarantula, SimFix, combine: 15
0 qid:50002 1:0 2:0 3:0 4:0 5:0.0 #lang-2, Tarantula, TBar, combine: 16
0 qid:50003 1:0 2:1 3:1 4:1 5:0.0 #lang-3, DStar, ACS, combine: 1
0 qid:50003 1:0 2:1 3:1 4:1 5:0.0 #lang-3, DStar, Nopol, combine: 2
0 qid:50003 1:0 2:1 3:1 4:1 5:0.0 #lang-3, DStar, SimFix, combine: 3
0 qid:50003 1:0 2:1 3:1 4:1 5:0.0 #lang-3, DStar, TBar, combine: 4
0 qid:50003 1:0 2:1 3:1 4:1 5:0.0 #lang-3, Jaccard, ACS, combine: 5
0 qid:50003 1:0 2:1 3:1 4:1 5:0.0 #lang-3, Jaccard, Nopol, combine: 6
0 qid:50003 1:0 2:1 3:1 4:1 5:0.0 #lang-3, Jaccard, SimFix, combine: 7
0 qid:50003 1:0 2:1 3:1 4:1 5:0.0 #lang-3, Jaccard, TBar, combine: 8
0 qid:50003 1:0 2:1 3:1 4:1 5:0.0 #lang-3, Ochiai, ACS, combine: 9
0 qid:50003 1:0 2:1 3:1 4:1 5:0.0 #lang-3, Ochiai, Nopol, combine: 10
0 qid:50003 1:0 2:1 3:1 4:1 5:0.0 #lang-3, Ochiai, SimFix, combine: 11
0 qid:50003 1:0 2:1 3:1 4:1 5:0.0 #lang-3, Ochiai, TBar, combine: 12
0 qid:50003 1:0 2:1 3:1 4:1 5:0.0 #lang-3, Tarantula, ACS, combine: 13
0 qid:50003 1:0 2:1 3:1 4:1 5:0.0 #lang-3, Tarantula, Nopol, combine: 14
0 qid:50003 1:0 2:1 3:1 4:1 5:0.0 #lang-3, Tarantula, SimFix, combine: 15
0 qid:50003 1:0 2:1 3:1 4:1 5:0.0 #lang-3, Tarantula, TBar, combine: 16
0 qid:50004 1:0 2:1 3:1 4:1 5:0.0 #lang-4, DStar, ACS, combine: 1
0 qid:50004 1:0 2:1 3:1 4:1 5:0.0 #lang-4, DStar, Nopol, combine: 2
0 qid:50004 1:0 2:1 3:1 4:1 5:0.0 #lang-4, DStar, SimFix, combine: 3
0 qid:50004 1:0 2:1 3:1 4:1 5:0.0 #lang-4, DStar, TBar, combine: 4
0 qid:50004 1:0 2:1 3:1 4:1 5:0.0 #lang-4, Jaccard, ACS, combine: 5
0 qid:50004 1:0 2:1 3:1 4:1 5:0.0 #lang-4, Jaccard, Nopol, combine: 6
0 qid:50004 1:0 2:1 3:1 4:1 5:0.0 #lang-4, Jaccard, SimFix, combine: 7
0 qid:50004 1:0 2:1 3:1 4:1 5:0.0 #lang-4, Jaccard, TBar, combine: 8
0 qid:50004 1:0 2:1 3:1 4:1 5:0.0 #lang-4, Ochiai, ACS, combine: 9
0 qid:50004 1:0 2:1 3:1 4:1 5:0.0 #lang-4, Ochiai, Nopol, combine: 10
0 qid:50004 1:0 2:1 3:1 4:1 5:0.0 #lang-4, Ochiai, SimFix, combine: 11
0 qid:50004 1:0 2:1 3:1 4:1 5:0.0 #lang-4, Ochiai, TBar, combine: 12
0 qid:50004 1:0 2:1 3:1 4:1 5:0.0 #lang-4, Tarantula, ACS, combine: 13
0 qid:50004 1:0 2:1 3:1 4:1 5:0.0 #lang-4, Tarantula, Nopol, combine: 14
0 qid:50004 1:0 2:1 3:1 4:1 5:0.0 #lang-4, Tarantula, SimFix, combine: 15
0 qid:50004 1:0 2:1 3:1 4:1 5:0.0 #lang-4, Tarantula, TBar, combine: 16
0 qid:50005 1:1 2:1 3:1 4:1 5:0.0 #lang-5, DStar, ACS, combine: 1
0 qid:50005 1:1 2:1 3:1 4:1 5:0.0 #lang-5, DStar, Nopol, combine: 2
0 qid:50005 1:1 2:1 3:1 4:1 5:0.0 #lang-5, DStar, SimFix, combine: 3
0 qid:50005 1:1 2:1 3:1 4:1 5:0.0 #lang-5, DStar, TBar, combine: 4
0 qid:50005 1:1 2:1 3:1 4:1 5:0.0 #lang-5, Jaccard, ACS, combine: 5
0 qid:50005 1:1 2:1 3:1 4:1 5:0.0 #lang-5, Jaccard, Nopol, combine: 6
0 qid:50005 1:1 2:1 3:1 4:1 5:0.0 #lang-5, Jaccard, SimFix, combine: 7
0 qid:50005 1:1 2:1 3:1 4:1 5:0.0 #lang-5, Jaccard, TBar, combine: 8
0 qid:50005 1:1 2:1 3:1 4:1 5:0.0 #lang-5, Ochiai, ACS, combine: 9
0 qid:50005 1:1 2:1 3:1 4:1 5:0.0 #lang-5, Ochiai, Nopol, combine: 10
0 qid:50005 1:1 2:1 3:1 4:1 5:0.0 #lang-5, Ochiai, SimFix, combine: 11
0 qid:50005 1:1 2:1 3:1 4:1 5:0.0 #lang-5, Ochiai, TBar, combine: 12
0 qid:50005 1:1 2:1 3:1 4:1 5:0.0 #lang-5, Tarantula, ACS, combine: 13
0 qid:50005 1:1 2:1 3:1 4:1 5:0.0 #lang-5, Tarantula, Nopol, combine: 14
0 qid:50005 1:1 2:1 3:1 4:1 5:0.0 #lang-5, Tarantula, SimFix, combine: 15
0 qid:50005 1:1 2:1 3:1 4:1 5:0.0 #lang-5, Tarantula, TBar, combine: 16
0 qid:50006 1:0 2:0 3:0 4:0 5:0.0 #lang-6, DStar, ACS, combine: 1
0 qid:50006 1:0 2:0 3:0 4:0 5:0.0 #lang-6, DStar, Nopol, combine: 2
0 qid:50006 1:0 2:0 3:0 4:0 5:0.0 #lang-6, DStar, SimFix, combine: 3
1 qid:50006 1:0 2:0 3:0 4:0 5:1.0 #lang-6, DStar, TBar, combine: 4
0 qid:50006 1:0 2:0 3:0 4:0 5:0.0 #lang-6, Jaccard, ACS, combine: 5
0 qid:50006 1:0 2:0 3:0 4:0 5:0.0 #lang-6, Jaccard, Nopol, combine: 6
0 qid:50006 1:0 2:0 3:0 4:0 5:0.0 #lang-6, Jaccard, SimFix, combine: 7
1 qid:50006 1:0 2:0 3:0 4:0 5:1.0 #lang-6, Jaccard, TBar, combine: 8
0 qid:50006 1:0 2:0 3:0 4:0 5:0.0 #lang-6, Ochiai, ACS, combine: 9
0 qid:50006 1:0 2:0 3:0 4:0 5:0.0 #lang-6, Ochiai, Nopol, combine: 10
0 qid:50006 1:0 2:0 3:0 4:0 5:0.0 #lang-6, Ochiai, SimFix, combine: 11
1 qid:50006 1:0 2:0 3:0 4:0 5:1.0 #lang-6, Ochiai, TBar, combine: 12
0 qid:50006 1:0 2:0 3:0 4:0 5:0.0 #lang-6, Tarantula, ACS, combine: 13
0 qid:50006 1:0 2:0 3:0 4:0 5:0.0 #lang-6, Tarantula, Nopol, combine: 14
0 qid:50006 1:0 2:0 3:0 4:0 5:0.0 #lang-6, Tarantula, SimFix, combine: 15
1 qid:50006 1:0 2:0 3:0 4:0 5:1.0 #lang-6, Tarantula, TBar, combine: 16
1 qid:50007 1:0 2:0 3:0 4:0 5:1.0 #lang-7, DStar, ACS, combine: 1
0 qid:50007 1:0 2:0 3:0 4:0 5:0.0 #lang-7, DStar, Nopol, combine: 2
0 qid:50007 1:0 2:0 3:0 4:0 5:0.0 #lang-7, DStar, SimFix, combine: 3
0 qid:50007 1:0 2:0 3:0 4:0 5:0.5 #lang-7, DStar, TBar, combine: 4
1 qid:50007 1:0 2:0 3:0 4:0 5:1.0 #lang-7, Jaccard, ACS, combine: 5
0 qid:50007 1:0 2:0 3:0 4:0 5:0.0 #lang-7, Jaccard, Nopol, combine: 6
0 qid:50007 1:0 2:0 3:0 4:0 5:0.0 #lang-7, Jaccard, SimFix, combine: 7
0 qid:50007 1:0 2:0 3:0 4:0 5:0.5 #lang-7, Jaccard, TBar, combine: 8
1 qid:50007 1:0 2:0 3:0 4:0 5:1.0 #lang-7, Ochiai, ACS, combine: 9
0 qid:50007 1:0 2:0 3:0 4:0 5:0.0 #lang-7, Ochiai, Nopol, combine: 10
0 qid:50007 1:0 2:0 3:0 4:0 5:0.0 #lang-7, Ochiai, SimFix, combine: 11
0 qid:50007 1:0 2:0 3:0 4:0 5:0.5 #lang-7, Ochiai, TBar, combine: 12
1 qid:50007 1:0 2:0 3:0 4:0 5:1.0 #lang-7, Tarantula, ACS, combine: 13
0 qid:50007 1:0 2:0 3:0 4:0 5:0.0 #lang-7, Tarantula, Nopol, combine: 14
0 qid:50007 1:0 2:0 3:0 4:0 5:0.0 #lang-7, Tarantula, SimFix, combine: 15
0 qid:50007 1:0 2:0 3:0 4:0 5:0.5 #lang-7, Tarantula, TBar, combine: 16
0 qid:50008 1:1 2:1 3:1 4:1 5:0.0 #lang-8, DStar, ACS, combine: 1
0 qid:50008 1:1 2:1 3:1 4:1 5:0.0 #lang-8, DStar, Nopol, combine: 2
0 qid:50008 1:1 2:1 3:1 4:1 5:0.0 #lang-8, DStar, SimFix, combine: 3
1 qid:50008 1:1 2:1 3:1 4:1 5:1.0 #lang-8, DStar, TBar, combine: 4
0 qid:50008 1:0 2:0 3:0 4:1 5:0.0 #lang-8, Jaccard, ACS, combine: 5
0 qid:50008 1:0 2:0 3:0 4:1 5:0.0 #lang-8, Jaccard, Nopol, combine: 6
0 qid:50008 1:0 2:0 3:0 4:1 5:0.0 #lang-8, Jaccard, SimFix, combine: 7
1 qid:50008 1:0 2:0 3:0 4:1 5:1.0 #lang-8, Jaccard, TBar, combine: 8
0 qid:50008 1:0 2:0 3:0 4:1 5:0.0 #lang-8, Ochiai, ACS, combine: 9
0 qid:50008 1:0 2:0 3:0 4:1 5:0.0 #lang-8, Ochiai, Nopol, combine: 10
0 qid:50008 1:0 2:0 3:0 4:1 5:0.0 #lang-8, Ochiai, SimFix, combine: 11
1 qid:50008 1:0 2:0 3:0 4:1 5:1.0 #lang-8, Ochiai, TBar, combine: 12
0 qid:50008 1:0 2:0 3:0 4:1 5:0.0 #lang-8, Tarantula, ACS, combine: 13
0 qid:50008 1:0 2:0 3:0 4:1 5:0.0 #lang-8, Tarantula, Nopol, combine: 14
0 qid:50008 1:0 2:0 3:0 4:1 5:0.0 #lang-8, Tarantula, SimFix, combine: 15
1 qid:50008 1:0 2:0 3:0 4:1 5:1.0 #lang-8, Tarantula, TBar, combine: 16
0 qid:50009 1:0 2:0 3:0 4:0 5:0.0 #lang-9, DStar, ACS, combine: 1
0 qid:50009 1:0 2:0 3:0 4:0 5:0.0 #lang-9, DStar, Nopol, combine: 2
0 qid:50009 1:0 2:0 3:0 4:0 5:0.0 #lang-9, DStar, SimFix, combine: 3
0 qid:50009 1:0 2:0 3:0 4:0 5:0.0 #lang-9, DStar, TBar, combine: 4
0 qid:50009 1:0 2:0 3:0 4:0 5:0.0 #lang-9, Jaccard, ACS, combine: 5
0 qid:50009 1:0 2:0 3:0 4:0 5:0.0 #lang-9, Jaccard, Nopol, combine: 6
0 qid:50009 1:0 2:0 3:0 4:0 5:0.0 #lang-9, Jaccard, SimFix, combine: 7
0 qid:50009 1:0 2:0 3:0 4:0 5:0.0 #lang-9, Jaccard, TBar, combine: 8
0 qid:50009 1:0 2:0 3:0 4:0 5:0.0 #lang-9, Ochiai, ACS, combine: 9
0 qid:50009 1:0 2:0 3:0 4:0 5:0.0 #lang-9, Ochiai, Nopol, combine: 10
0 qid:50009 1:0 2:0 3:0 4:0 5:0.0 #lang-9, Ochiai, SimFix, combine: 11
0 qid:50009 1:0 2:0 3:0 4:0 5:0.0 #lang-9, Ochiai, TBar, combine: 12
0 qid:50009 1:0 2:0 3:0 4:0 5:0.0 #lang-9, Tarantula, ACS, combine: 13
0 qid:50009 1:0 2:0 3:0 4:0 5:0.0 #lang-9, Tarantula, Nopol, combine: 14
0 qid:50009 1:0 2:0 3:0 4:0 5:0.0 #lang-9, Tarantula, SimFix, combine: 15
0 qid:50009 1:0 2:0 3:0 4:0 5:0.0 #lang-9, Tarantula, TBar, combine: 16
0 qid:50010 1:0 2:0 3:0 4:0 5:0.0 #lang-10, DStar, ACS, combine: 1
0 qid:50010 1:0 2:0 3:0 4:0 5:0.0 #lang-10, DStar, Nopol, combine: 2
0 qid:50010 1:0 2:0 3:0 4:0 5:0.5 #lang-10, DStar, SimFix, combine: 3
1 qid:50010 1:0 2:0 3:0 4:0 5:1.0 #lang-10, DStar, TBar, combine: 4
0 qid:50010 1:0 2:0 3:0 4:0 5:0.0 #lang-10, Jaccard, ACS, combine: 5
0 qid:50010 1:0 2:0 3:0 4:0 5:0.0 #lang-10, Jaccard, Nopol, combine: 6
0 qid:50010 1:0 2:0 3:0 4:0 5:0.5 #lang-10, Jaccard, SimFix, combine: 7
1 qid:50010 1:0 2:0 3:0 4:0 5:1.0 #lang-10, Jaccard, TBar, combine: 8
0 qid:50010 1:0 2:0 3:0 4:0 5:0.0 #lang-10, Ochiai, ACS, combine: 9
0 qid:50010 1:0 2:0 3:0 4:0 5:0.0 #lang-10, Ochiai, Nopol, combine: 10
0 qid:50010 1:0 2:0 3:0 4:0 5:0.5 #lang-10, Ochiai, SimFix, combine: 11
1 qid:50010 1:0 2:0 3:0 4:0 5:1.0 #lang-10, Ochiai, TBar, combine: 12
0 qid:50010 1:0 2:0 3:0 4:0 5:0.0 #lang-10, Tarantula, ACS, combine: 13
0 qid:50010 1:0 2:0 3:0 4:0 5:0.0 #lang-10, Tarantula, Nopol, combine: 14
0 qid:50010 1:0 2:0 3:0 4:0 5:0.5 #lang-10, Tarantula, SimFix, combine: 15
1 qid:50010 1:0 2:0 3:0 4:0 5:1.0 #lang-10, Tarantula, TBar, combine: 16
0 qid:50011 1:0 2:1 3:1 4:1 5:0.0 #lang-11, DStar, ACS, combine: 1
0 qid:50011 1:0 2:1 3:1 4:1 5:0.0 #lang-11, DStar, Nopol, combine: 2
0 qid:50011 1:0 2:1 3:1 4:1 5:0.0 #lang-11, DStar, SimFix, combine: 3
0 qid:50011 1:0 2:1 3:1 4:1 5:0.0 #lang-11, DStar, TBar, combine: 4
0 qid:50011 1:0 2:1 3:1 4:1 5:0.0 #lang-11, Jaccard, ACS, combine: 5
0 qid:50011 1:0 2:1 3:1 4:1 5:0.0 #lang-11, Jaccard, Nopol, combine: 6
0 qid:50011 1:0 2:1 3:1 4:1 5:0.0 #lang-11, Jaccard, SimFix, combine: 7
0 qid:50011 1:0 2:1 3:1 4:1 5:0.0 #lang-11, Jaccard, TBar, combine: 8
0 qid:50011 1:0 2:1 3:1 4:1 5:0.0 #lang-11, Ochiai, ACS, combine: 9
0 qid:50011 1:0 2:1 3:1 4:1 5:0.0 #lang-11, Ochiai, Nopol, combine: 10
0 qid:50011 1:0 2:1 3:1 4:1 5:0.0 #lang-11, Ochiai, SimFix, combine: 11
0 qid:50011 1:0 2:1 3:1 4:1 5:0.0 #lang-11, Ochiai, TBar, combine: 12
0 qid:50011 1:0 2:1 3:1 4:1 5:0.0 #lang-11, Tarantula, ACS, combine: 13
0 qid:50011 1:0 2:1 3:1 4:1 5:0.0 #lang-11, Tarantula, Nopol, combine: 14
0 qid:50011 1:0 2:1 3:1 4:1 5:0.0 #lang-11, Tarantula, SimFix, combine: 15
0 qid:50011 1:0 2:1 3:1 4:1 5:0.0 #lang-11, Tarantula, TBar, combine: 16
0 qid:50012 1:0 2:0 3:1 4:1 5:0.0 #lang-12, DStar, ACS, combine: 1
0 qid:50012 1:0 2:0 3:1 4:1 5:0.0 #lang-12, DStar, Nopol, combine: 2
0 qid:50012 1:0 2:0 3:1 4:1 5:0.0 #lang-12, DStar, SimFix, combine: 3
0 qid:50012 1:0 2:0 3:1 4:1 5:0.0 #lang-12, DStar, TBar, combine: 4
0 qid:50012 1:0 2:0 3:1 4:1 5:0.0 #lang-12, Jaccard, ACS, combine: 5
0 qid:50012 1:0 2:0 3:1 4:1 5:0.0 #lang-12, Jaccard, Nopol, combine: 6
0 qid:50012 1:0 2:0 3:1 4:1 5:0.0 #lang-12, Jaccard, SimFix, combine: 7
0 qid:50012 1:0 2:0 3:1 4:1 5:0.0 #lang-12, Jaccard, TBar, combine: 8
0 qid:50012 1:0 2:0 3:1 4:1 5:0.0 #lang-12, Ochiai, ACS, combine: 9
0 qid:50012 1:0 2:0 3:1 4:1 5:0.0 #lang-12, Ochiai, Nopol, combine: 10
0 qid:50012 1:0 2:0 3:1 4:1 5:0.0 #lang-12, Ochiai, SimFix, combine: 11
0 qid:50012 1:0 2:0 3:1 4:1 5:0.0 #lang-12, Ochiai, TBar, combine: 12
0 qid:50012 1:0 2:0 3:1 4:1 5:0.0 #lang-12, Tarantula, ACS, combine: 13
0 qid:50012 1:0 2:0 3:1 4:1 5:0.0 #lang-12, Tarantula, Nopol, combine: 14
0 qid:50012 1:0 2:0 3:1 4:1 5:0.0 #lang-12, Tarantula, SimFix, combine: 15
0 qid:50012 1:0 2:0 3:1 4:1 5:0.0 #lang-12, Tarantula, TBar, combine: 16
0 qid:50013 1:0 2:0 3:0 4:0 5:0.0 #lang-13, DStar, ACS, combine: 1
0 qid:50013 1:0 2:0 3:0 4:0 5:0.0 #lang-13, DStar, Nopol, combine: 2
0 qid:50013 1:0 2:0 3:0 4:0 5:0.0 #lang-13, DStar, SimFix, combine: 3
0 qid:50013 1:0 2:0 3:0 4:0 5:0.5 #lang-13, DStar, TBar, combine: 4
0 qid:50013 1:0 2:0 3:1 4:1 5:0.0 #lang-13, Jaccard, ACS, combine: 5
0 qid:50013 1:0 2:0 3:1 4:1 5:0.0 #lang-13, Jaccard, Nopol, combine: 6
0 qid:50013 1:0 2:0 3:1 4:1 5:0.0 #lang-13, Jaccard, SimFix, combine: 7
0 qid:50013 1:0 2:0 3:1 4:1 5:0.5 #lang-13, Jaccard, TBar, combine: 8
0 qid:50013 1:0 2:0 3:1 4:1 5:0.0 #lang-13, Ochiai, ACS, combine: 9
0 qid:50013 1:0 2:0 3:1 4:1 5:0.0 #lang-13, Ochiai, Nopol, combine: 10
0 qid:50013 1:0 2:0 3:1 4:1 5:0.0 #lang-13, Ochiai, SimFix, combine: 11
0 qid:50013 1:0 2:0 3:1 4:1 5:0.5 #lang-13, Ochiai, TBar, combine: 12
0 qid:50013 1:0 2:0 3:1 4:1 5:0.0 #lang-13, Tarantula, ACS, combine: 13
0 qid:50013 1:0 2:0 3:1 4:1 5:0.0 #lang-13, Tarantula, Nopol, combine: 14
0 qid:50013 1:0 2:0 3:1 4:1 5:0.0 #lang-13, Tarantula, SimFix, combine: 15
0 qid:50013 1:0 2:0 3:1 4:1 5:0.5 #lang-13, Tarantula, TBar, combine: 16
0 qid:50014 1:0 2:0 3:1 4:1 5:0.0 #lang-14, DStar, ACS, combine: 1
0 qid:50014 1:0 2:0 3:1 4:1 5:0.0 #lang-14, DStar, Nopol, combine: 2
0 qid:50014 1:0 2:0 3:1 4:1 5:0.0 #lang-14, DStar, SimFix, combine: 3
0 qid:50014 1:0 2:0 3:1 4:1 5:0.0 #lang-14, DStar, TBar, combine: 4
0 qid:50014 1:0 2:0 3:1 4:1 5:0.0 #lang-14, Jaccard, ACS, combine: 5
0 qid:50014 1:0 2:0 3:1 4:1 5:0.0 #lang-14, Jaccard, Nopol, combine: 6
0 qid:50014 1:0 2:0 3:1 4:1 5:0.0 #lang-14, Jaccard, SimFix, combine: 7
0 qid:50014 1:0 2:0 3:1 4:1 5:0.0 #lang-14, Jaccard, TBar, combine: 8
0 qid:50014 1:0 2:0 3:1 4:1 5:0.0 #lang-14, Ochiai, ACS, combine: 9
0 qid:50014 1:0 2:0 3:1 4:1 5:0.0 #lang-14, Ochiai, Nopol, combine: 10
0 qid:50014 1:0 2:0 3:1 4:1 5:0.0 #lang-14, Ochiai, SimFix, combine: 11
0 qid:50014 1:0 2:0 3:1 4:1 5:0.0 #lang-14, Ochiai, TBar, combine: 12
0 qid:50014 1:0 2:0 3:1 4:1 5:0.0 #lang-14, Tarantula, ACS, combine: 13
0 qid:50014 1:0 2:0 3:1 4:1 5:0.0 #lang-14, Tarantula, Nopol, combine: 14
0 qid:50014 1:0 2:0 3:1 4:1 5:0.0 #lang-14, Tarantula, SimFix, combine: 15
0 qid:50014 1:0 2:0 3:1 4:1 5:0.0 #lang-14, Tarantula, TBar, combine: 16
0 qid:50015 1:0 2:0 3:0 4:1 5:0.0 #lang-15, DStar, ACS, combine: 1
0 qid:50015 1:0 2:0 3:0 4:1 5:0.0 #lang-15, DStar, Nopol, combine: 2
0 qid:50015 1:0 2:0 3:0 4:1 5:0.0 #lang-15, DStar, SimFix, combine: 3
0 qid:50015 1:0 2:0 3:0 4:1 5:0.5 #lang-15, DStar, TBar, combine: 4
0 qid:50015 1:0 2:0 3:0 4:0 5:0.0 #lang-15, Jaccard, ACS, combine: 5
0 qid:50015 1:0 2:0 3:0 4:0 5:0.0 #lang-15, Jaccard, Nopol, combine: 6
0 qid:50015 1:0 2:0 3:0 4:0 5:0.0 #lang-15, Jaccard, SimFix, combine: 7
0 qid:50015 1:0 2:0 3:0 4:0 5:0.5 #lang-15, Jaccard, TBar, combine: 8
0 qid:50015 1:0 2:0 3:0 4:0 5:0.0 #lang-15, Ochiai, ACS, combine: 9
0 qid:50015 1:0 2:0 3:0 4:0 5:0.0 #lang-15, Ochiai, Nopol, combine: 10
0 qid:50015 1:0 2:0 3:0 4:0 5:0.0 #lang-15, Ochiai, SimFix, combine: 11
0 qid:50015 1:0 2:0 3:0 4:0 5:0.5 #lang-15, Ochiai, TBar, combine: 12
0 qid:50015 1:0 2:0 3:0 4:0 5:0.0 #lang-15, Tarantula, ACS, combine: 13
0 qid:50015 1:0 2:0 3:0 4:0 5:0.0 #lang-15, Tarantula, Nopol, combine: 14
0 qid:50015 1:0 2:0 3:0 4:0 5:0.0 #lang-15, Tarantula, SimFix, combine: 15
0 qid:50015 1:0 2:0 3:0 4:0 5:0.5 #lang-15, Tarantula, TBar, combine: 16
0 qid:50016 1:0 2:0 3:0 4:0 5:0.0 #lang-16, DStar, ACS, combine: 1
0 qid:50016 1:0 2:0 3:0 4:0 5:0.0 #lang-16, DStar, Nopol, combine: 2
0 qid:50016 1:0 2:0 3:0 4:0 5:0.5 #lang-16, DStar, SimFix, combine: 3
0 qid:50016 1:0 2:0 3:0 4:0 5:0.0 #lang-16, DStar, TBar, combine: 4
0 qid:50016 1:0 2:0 3:0 4:0 5:0.0 #lang-16, Jaccard, ACS, combine: 5
0 qid:50016 1:0 2:0 3:0 4:0 5:0.0 #lang-16, Jaccard, Nopol, combine: 6
0 qid:50016 1:0 2:0 3:0 4:0 5:0.5 #lang-16, Jaccard, SimFix, combine: 7
0 qid:50016 1:0 2:0 3:0 4:0 5:0.0 #lang-16, Jaccard, TBar, combine: 8
0 qid:50016 1:0 2:0 3:0 4:0 5:0.0 #lang-16, Ochiai, ACS, combine: 9
0 qid:50016 1:0 2:0 3:0 4:0 5:0.0 #lang-16, Ochiai, Nopol, combine: 10
0 qid:50016 1:0 2:0 3:0 4:0 5:0.5 #lang-16, Ochiai, SimFix, combine: 11
0 qid:50016 1:0 2:0 3:0 4:0 5:0.0 #lang-16, Ochiai, TBar, combine: 12
0 qid:50016 1:0 2:0 3:0 4:0 5:0.0 #lang-16, Tarantula, ACS, combine: 13
0 qid:50016 1:0 2:0 3:0 4:0 5:0.0 #lang-16, Tarantula, Nopol, combine: 14
0 qid:50016 1:0 2:0 3:0 4:0 5:0.5 #lang-16, Tarantula, SimFix, combine: 15
0 qid:50016 1:0 2:0 3:0 4:0 5:0.0 #lang-16, Tarantula, TBar, combine: 16
0 qid:50017 1:0 2:0 3:0 4:0 5:0.0 #lang-17, DStar, ACS, combine: 1
0 qid:50017 1:0 2:0 3:0 4:0 5:0.0 #lang-17, DStar, Nopol, combine: 2
0 qid:50017 1:0 2:0 3:0 4:0 5:0.0 #lang-17, DStar, SimFix, combine: 3
0 qid:50017 1:0 2:0 3:0 4:0 5:0.0 #lang-17, DStar, TBar, combine: 4
0 qid:50017 1:0 2:0 3:0 4:0 5:0.0 #lang-17, Jaccard, ACS, combine: 5
0 qid:50017 1:0 2:0 3:0 4:0 5:0.0 #lang-17, Jaccard, Nopol, combine: 6
0 qid:50017 1:0 2:0 3:0 4:0 5:0.0 #lang-17, Jaccard, SimFix, combine: 7
0 qid:50017 1:0 2:0 3:0 4:0 5:0.0 #lang-17, Jaccard, TBar, combine: 8
0 qid:50017 1:0 2:0 3:0 4:0 5:0.0 #lang-17, Ochiai, ACS, combine: 9
0 qid:50017 1:0 2:0 3:0 4:0 5:0.0 #lang-17, Ochiai, Nopol, combine: 10
0 qid:50017 1:0 2:0 3:0 4:0 5:0.0 #lang-17, Ochiai, SimFix, combine: 11
0 qid:50017 1:0 2:0 3:0 4:0 5:0.0 #lang-17, Ochiai, TBar, combine: 12
