0 qid:10006 1:0 2:0 3:0 4:0 5:0.0 #chart-6, DStar, ACS, combine: 1
0 qid:10008 1:1 2:1 3:1 4:1 5:0.0 #chart-8, DStar, Nopol, combine: 2
0 qid:10008 1:1 2:1 3:1 4:1 5:0.0 #chart-8, DStar, SimFix, combine: 3
1 qid:10008 1:1 2:1 3:1 4:1 5:1.0 #chart-8, DStar, TBar, combine: 4
0 qid:10008 1:1 2:1 3:1 4:1 5:0.0 #chart-8, Jaccard, ACS, combine: 5
0 qid:10008 1:1 2:1 3:1 4:1 5:0.0 #chart-8, Jaccard, Nopol, combine: 6
0 qid:10008 1:1 2:1 3:1 4:1 5:0.0 #chart-8, Jaccard, SimFix, combine: 7
1 qid:10008 1:1 2:1 3:1 4:1 5:1.0 #chart-8, Jaccard, TBar, combine: 8
0 qid:10008 1:1 2:1 3:1 4:1 5:0.0 #chart-8, Ochiai, ACS, combine: 9
0 qid:10008 1:1 2:1 3:1 4:1 5:0.0 #chart-8, Ochiai, Nopol, combine: 10
0 qid:10008 1:1 2:1 3:1 4:1 5:0.0 #chart-8, Ochiai, SimFix, combine: 11
1 qid:10008 1:1 2:1 3:1 4:1 5:1.0 #chart-8, Ochiai, TBar, combine: 12
0 qid:10008 1:1 2:1 3:1 4:1 5:0.0 #chart-8, Tarantula, ACS, combine: 13
0 qid:10008 1:1 2:1 3:1 4:1 5:0.0 #chart-8, Tarantula, Nopol, combine: 14
0 qid:10008 1:1 2:1 3:1 4:1 5:0.0 #chart-8, Tarantula, SimFix, combine: 15
1 qid:10008 1:1 2:1 3:1 4:1 5:1.0 #chart-8, Tarantula, TBar, combine: 16
0 qid:10009 1:0 2:0 3:0 4:0 5:0.0 #chart-9, DStar, ACS, combine: 1
0 qid:10009 1:0 2:0 3:0 4:0 5:0.5 #chart-9, DStar, Nopol, combine: 2
0 qid:10009 1:0 2:0 3:0 4:0 5:0.0 #chart-9, DStar, SimFix, combine: 3
1 qid:10009 1:0 2:0 3:0 4:0 5:1.0 #chart-9, DStar, TBar, combine: 4
0 qid:10009 1:0 2:0 3:0 4:0 5:0.0 #chart-9, Jaccard, ACS, combine: 5
0 qid:10009 1:0 2:0 3:0 4:0 5:0.5 #chart-9, Jaccard, Nopol, combine: 6
0 qid:10009 1:0 2:0 3:0 4:0 5:0.0 #chart-9, Jaccard, SimFix, combine: 7
1 qid:10009 1:0 2:0 3:0 4:0 5:1.0 #chart-9, Jaccard, TBar, combine: 8
0 qid:10009 1:0 2:0 3:0 4:0 5:0.0 #chart-9, Ochiai, ACS, combine: 9
0 qid:10009 1:0 2:0 3:0 4:0 5:0.5 #chart-9, Ochiai, Nopol, combine: 10
0 qid:10009 1:0 2:0 3:0 4:0 5:0.0 #chart-9, Ochiai, SimFix, combine: 11
1 qid:10009 1:0 2:0 3:0 4:0 5:1.0 #chart-9, Ochiai, TBar, combine: 12
0 qid:10009 1:0 2:0 3:0 4:0 5:0.0 #chart-9, Tarantula, ACS, combine: 13
0 qid:10009 1:0 2:0 3:0 4:0 5:0.5 #chart-9, Tarantula, Nopol, combine: 14
0 qid:10009 1:0 2:0 3:0 4:0 5:0.0 #chart-9, Tarantula, SimFix, combine: 15
1 qid:10009 1:0 2:0 3:0 4:0 5:1.0 #chart-9, Tarantula, TBar, combine: 16
0 qid:10010 1:0 2:0 3:0 4:0 5:0.0 #chart-10, DStar, ACS, combine: 1
0 qid:10010 1:0 2:0 3:0 4:0 5:0.0 #chart-10, DStar, Nopol, combine: 2
0 qid:10010 1:0 2:0 3:0 4:0 5:0.0 #chart-10, DStar, SimFix, combine: 3
0 qid:10010 1:0 2:0 3:0 4:0 5:0.0 #chart-10, DStar, TBar, combine: 4
0 qid:10010 1:0 2:1 3:1 4:1 5:0.0 #chart-10, Jaccard, ACS, combine: 5
0 qid:10010 1:0 2:1 3:1 4:1 5:0.0 #chart-10, Jaccard, Nopol, combine: 6
0 qid:10010 1:0 2:1 3:1 4:1 5:0.0 #chart-10, Jaccard, SimFix, combine: 7
0 qid:10010 1:0 2:1 3:1 4:1 5:0.0 #chart-10, Jaccard, TBar, combine: 8
0 qid:10010 1:0 2:1 3:1 4:1 5:0.0 #chart-10, Ochiai, ACS, combine: 9
0 qid:10010 1:0 2:1 3:1 4:1 5:0.0 #chart-10, Ochiai, Nopol, combine: 10
0 qid:10010 1:0 2:1 3:1 4:1 5:0.0 #chart-10, Ochiai, SimFix, combine: 11
0 qid:10010 1:0 2:1 3:1 4:1 5:0.0 #chart-10, Ochiai, TBar, combine: 12
0 qid:10010 1:0 2:1 3:1 4:1 5:0.0 #chart-10, Tarantula, ACS, combine: 13
0 qid:10010 1:0 2:1 3:1 4:1 5:0.0 #chart-10, Tarantula, Nopol, combine: 14
0 qid:10010 1:0 2:1 3:1 4:1 5:0.0 #chart-10, Tarantula, SimFix, combine: 15
0 qid:10010 1:0 2:1 3:1 4:1 5:0.0 #chart-10, Tarantula, TBar, combine: 16
0 qid:10011 1:0 2:0 3:1 4:1 5:0.0 #chart-11, DStar, ACS, combine: 1
0 qid:10011 1:0 2:0 3:1 4:1 5:0.0 #chart-11, DStar, Nopol, combine: 2
0 qid:10011 1:0 2:0 3:1 4:1 5:0.0 #chart-11, DStar, SimFix, combine: 3
1 qid:10011 1:0 2:0 3:1 4:1 5:1.0 #chart-11, DStar, TBar, combine: 4
0 qid:10011 1:0 2:0 3:1 4:1 5:0.0 #chart-11, Jaccard, ACS, combine: 5
0 qid:10011 1:0 2:0 3:1 4:1 5:0.0 #chart-11, Jaccard, Nopol, combine: 6
0 qid:10011 1:0 2:0 3:1 4:1 5:0.0 #chart-11, Jaccard, SimFix, combine: 7
1 qid:10011 1:0 2:0 3:1 4:1 5:1.0 #chart-11, Jaccard, TBar, combine: 8
0 qid:10011 1:0 2:0 3:1 4:1 5:0.0 #chart-11, Ochiai, ACS, combine: 9
0 qid:10011 1:0 2:0 3:1 4:1 5:0.0 #chart-11, Ochiai, Nopol, combine: 10
0 qid:10011 1:0 2:0 3:1 4:1 5:0.0 #chart-11, Ochiai, SimFix, combine: 11
1 qid:10011 1:0 2:0 3:1 4:1 5:1.0 #chart-11, Ochiai, TBar, combine: 12
0 qid:10011 1:0 2:0 3:1 4:1 5:0.0 #chart-11, Tarantula, ACS, combine: 13
0 qid:10011 1:0 2:0 3:1 4:1 5:0.0 #chart-11, Tarantula, Nopol, combine: 14
0 qid:10011 1:0 2:0 3:1 4:1 5:0.0 #chart-11, Tarantula, SimFix, combine: 15
1 qid:10011 1:0 2:0 3:1 4:1 5:1.0 #chart-11, Tarantula, TBar, combine: 16
0 qid:10012 1:0 2:0 3:0 4:1 5:0.0 #chart-12, DStar, ACS, combine: 1
0 qid:10012 1:0 2:0 3:0 4:1 5:0.0 #chart-12, DStar, Nopol, combine: 2
0 qid:10012 1:0 2:0 3:0 4:1 5:0.5 #chart-12, DStar, SimFix, combine: 3
1 qid:10012 1:0 2:0 3:0 4:1 5:1.0 #chart-12, DStar, TBar, combine: 4
0 qid:10012 1:0 2:0 3:0 4:1 5:0.0 #chart-12, Jaccard, ACS, combine: 5
0 qid:10012 1:0 2:0 3:0 4:1 5:0.0 #chart-12, Jaccard, Nopol, combine: 6
0 qid:10012 1:0 2:0 3:0 4:1 5:0.5 #chart-12, Jaccard, SimFix, combine: 7
1 qid:10012 1:0 2:0 3:0 4:1 5:1.0 #chart-12, Jaccard, TBar, combine: 8
0 qid:10012 1:0 2:0 3:0 4:1 5:0.0 #chart-12, Ochiai, ACS, combine: 9
0 qid:10012 1:0 2:0 3:0 4:1 5:0.0 #chart-12, Ochiai, Nopol, combine: 10
0 qid:10012 1:0 2:0 3:0 4:1 5:0.5 #chart-12, Ochiai, SimFix, combine: 11
1 qid:10012 1:0 2:0 3:0 4:1 5:1.0 #chart-12, Ochiai, TBar, combine: 12
0 qid:10012 1:0 2:0 3:0 4:1 5:0.0 #chart-12, Tarantula, ACS, combine: 13
0 qid:10012 1:0 2:0 3:0 4:1 5:0.0 #chart-12, Tarantula, Nopol, combine: 14
0 qid:10012 1:0 2:0 3:0 4:1 5:0.5 #chart-12, Tarantula, SimFix, combine: 15
1 qid:10012 1:0 2:0 3:0 4:1 5:1.0 #chart-12, Tarantula, TBar, combine: 16
0 qid:10013 1:0 2:0 3:0 4:0 5:0.0 #chart-13, DStar, ACS, combine: 1
0 qid:10013 1:0 2:0 3:0 4:0 5:0.5 #chart-13, DStar, Nopol, combine: 2
0 qid:10013 1:0 2:0 3:0 4:0 5:0.0 #chart-13, DStar, SimFix, combine: 3
0 qid:10013 1:0 2:0 3:0 4:0 5:0.5 #chart-13, DStar, TBar, combine: 4
0 qid:10013 1:0 2:0 3:0 4:0 5:0.0 #chart-13, Jaccard, ACS, combine: 5
0 qid:10013 1:0 2:0 3:0 4:0 5:0.5 #chart-13, Jaccard, Nopol, combine: 6
0 qid:10013 1:0 2:0 3:0 4:0 5:0.0 #chart-13, Jaccard, SimFix, combine: 7
0 qid:10013 1:0 2:0 3:0 4:0 5:0.5 #chart-13, Jaccard, TBar, combine: 8
0 qid:10013 1:0 2:0 3:0 4:0 5:0.0 #chart-13, Ochiai, ACS, combine: 9
0 qid:10013 1:0 2:0 3:0 4:0 5:0.5 #chart-13, Ochiai, Nopol, combine: 10
0 qid:10013 1:0 2:0 3:0 4:0 5:0.0 #chart-13, Ochiai, SimFix, combine: 11
0 qid:10013 1:0 2:0 3:0 4:0 5:0.5 #chart-13, Ochiai, TBar, combine: 12
0 qid:10013 1:0 2:0 3:0 4:0 5:0.0 #chart-13, Tarantula, ACS, combine: 13
0 qid:10013 1:0 2:0 3:0 4:0 5:0.5 #chart-13, Tarantula, Nopol, combine: 14
0 qid:10013 1:0 2:0 3:0 4:0 5:0.0 #chart-13, Tarantula, SimFix, combine: 15
0 qid:10013 1:0 2:0 3:0 4:0 5:0.5 #chart-13, Tarantula, TBar, combine: 16
1 qid:10014 1:0 2:0 3:0 4:0 5:1.0 #chart-14, DStar, ACS, combine: 1
0 qid:10014 1:0 2:0 3:0 4:0 5:0.0 #chart-14, DStar, Nopol, combine: 2
0 qid:10014 1:0 2:0 3:0 4:0 5:0.0 #chart-14, DStar, SimFix, combine: 3
0 qid:10014 1:0 2:0 3:0 4:0 5:0.5 #chart-14, DStar, TBar, combine: 4
1 qid:10014 1:0 2:0 3:0 4:1 5:1.0 #chart-14, Jaccard, ACS, combine: 5
0 qid:10014 1:0 2:0 3:0 4:1 5:0.0 #chart-14, Jaccard, Nopol, combine: 6
0 qid:10014 1:0 2:0 3:0 4:1 5:0.0 #chart-14, Jaccard, SimFix, combine: 7
0 qid:10014 1:0 2:0 3:0 4:1 5:0.5 #chart-14, Jaccard, TBar, combine: 8
1 qid:10014 1:0 2:0 3:0 4:1 5:1.0 #chart-14, Ochiai, ACS, combine: 9
0 qid:10014 1:0 2:0 3:0 4:1 5:0.0 #chart-14, Ochiai, Nopol, combine: 10
0 qid:10014 1:0 2:0 3:0 4:1 5:0.0 #chart-14, Ochiai, SimFix, combine: 11
0 qid:10014 1:0 2:0 3:0 4:1 5:0.5 #chart-14, Ochiai, TBar, combine: 12
1 qid:10014 1:0 2:0 3:0 4:1 5:1.0 #chart-14, Tarantula, ACS, combine: 13
0 qid:10014 1:0 2:0 3:0 4:1 5:0.0 #chart-14, Tarantula, Nopol, combine: 14
0 qid:10014 1:0 2:0 3:0 4:1 5:0.0 #chart-14, Tarantula, SimFix, combine: 15
0 qid:10014 1:0 2:0 3:0 4:1 5:0.5 #chart-14, Tarantula, TBar, combine: 16
0 qid:10015 1:0 2:0 3:0 4:0 5:0.0 #chart-15, DStar, ACS, combine: 1
0 qid:10015 1:0 2:0 3:0 4:0 5:0.0 #chart-15, DStar, Nopol, combine: 2
1 qid:10015 1:0 2:0 3:0 4:0 5:1.0 #chart-15, DStar, SimFix, combine: 3
0 qid:10015 1:0 2:0 3:0 4:0 5:0.0 #chart-15, DStar, TBar, combine: 4
0 qid:10015 1:0 2:0 3:0 4:0 5:0.0 #chart-15, Jaccard, ACS, combine: 5
0 qid:10015 1:0 2:0 3:0 4:0 5:0.0 #chart-15, Jaccard, Nopol, combine: 6
1 qid:10015 1:0 2:0 3:0 4:0 5:1.0 #chart-15, Jaccard, SimFix, combine: 7
0 qid:10015 1:0 2:0 3:0 4:0 5:0.0 #chart-15, Jaccard, TBar, combine: 8
0 qid:10015 1:0 2:0 3:0 4:0 5:0.0 #chart-15, Ochiai, ACS, combine: 9
0 qid:10015 1:0 2:0 3:0 4:0 5:0.0 #chart-15, Ochiai, Nopol, combine: 10
1 qid:10015 1:0 2:0 3:0 4:0 5:1.0 #chart-15, Ochiai, SimFix, combine: 11
0 qid:10015 1:0 2:0 3:0 4:0 5:0.0 #chart-15, Ochiai, TBar, combine: 12
0 qid:10015 1:0 2:0 3:0 4:0 5:0.0 #chart-15, Tarantula, ACS, combine: 13
0 qid:10015 1:0 2:0 3:0 4:0 5:0.0 #chart-15, Tarantula, Nopol, combine: 14
1 qid:10015 1:0 2:0 3:0 4:0 5:1.0 #chart-15, Tarantula, SimFix, combine: 15
0 qid:10015 1:0 2:0 3:0 4:0 5:0.0 #chart-15, Tarantula, TBar, combine: 16
0 qid:10016 1:1 2:1 3:1 4:1 5:0.0 #chart-16, DStar, ACS, combine: 1
0 qid:10016 1:1 2:1 3:1 4:1 5:0.0 #chart-16, DStar, Nopol, combine: 2
0 qid:10016 1:1 2:1 3:1 4:1 5:0.0 #chart-16, DStar, SimFix, combine: 3
0 qid:10016 1:1 2:1 3:1 4:1 5:0.5 #chart-16, DStar, TBar, combine: 4
0 qid:10016 1:1 2:1 3:1 4:1 5:0.0 #chart-16, Jaccard, ACS, combine: 5
0 qid:10016 1:1 2:1 3:1 4:1 5:0.0 #chart-16, Jaccard, Nopol, combine: 6
0 qid:10016 1:1 2:1 3:1 4:1 5:0.0 #chart-16, Jaccard, SimFix, combine: 7
0 qid:10016 1:1 2:1 3:1 4:1 5:0.5 #chart-16, Jaccard, TBar, combine: 8
0 qid:10016 1:1 2:1 3:1 4:1 5:0.0 #chart-16, Ochiai, ACS, combine: 9
0 qid:10016 1:1 2:1 3:1 4:1 5:0.0 #chart-16, Ochiai, Nopol, combine: 10
0 qid:10016 1:1 2:1 3:1 4:1 5:0.0 #chart-16, Ochiai, SimFix, combine: 11
0 qid:10016 1:1 2:1 3:1 4:1 5:0.5 #chart-16, Ochiai, TBar, combine: 12
0 qid:10016 1:0 2:1 3:1 4:1 5:0.0 #chart-16, Tarantula, ACS, combine: 13
0 qid:10016 1:0 2:1 3:1 4:1 5:0.0 #chart-16, Tarantula, Nopol, combine: 14
0 qid:10016 1:0 2:1 3:1 4:1 5:0.0 #chart-16, Tarantula, SimFix, combine: 15
0 qid:10016 1:0 2:1 3:1 4:1 5:0.5 #chart-16, Tarantula, TBar, combine: 16
0 qid:10017 1:0 2:1 3:1 4:1 5:0.0 #chart-17, DStar, ACS, combine: 1
0 qid:10017 1:0 2:1 3:1 4:1 5:0.5 #chart-17, DStar, Nopol, combine: 2
0 qid:10017 1:0 2:1 3:1 4:1 5:0.0 #chart-17, DStar, SimFix, combine: 3
0 qid:10017 1:0 2:1 3:1 4:1 5:0.0 #chart-17, DStar, TBar, combine: 4
0 qid:10017 1:0 2:1 3:1 4:1 5:0.0 #chart-17, Jaccard, ACS, combine: 5
0 qid:10017 1:0 2:1 3:1 4:1 5:0.5 #chart-17, Jaccard, Nopol, combine: 6
0 qid:10017 1:0 2:1 3:1 4:1 5:0.0 #chart-17, Jaccard, SimFix, combine: 7
0 qid:10017 1:0 2:1 3:1 4:1 5:0.0 #chart-17, Jaccard, TBar, combine: 8
0 qid:10017 1:0 2:1 3:1 4:1 5:0.0 #chart-17, Ochiai, ACS, combine: 9
0 qid:10017 1:0 2:1 3:1 4:1 5:0.5 #chart-17, Ochiai, Nopol, combine: 10
0 qid:10017 1:0 2:1 3:1 4:1 5:0.0 #chart-17, Ochiai, SimFix, combine: 11
0 qid:10017 1:0 2:1 3:1 4:1 5:0.0 #chart-17, Ochiai, TBar, combine: 12
0 qid:10017 1:0 2:1 3:1 4:1 5:0.0 #chart-17, Tarantula, ACS, combine: 13
0 qid:10017 1:0 2:1 3:1 4:1 5:0.5 #chart-17, Tarantula, Nopol, combine: 14
0 qid:10017 1:0 2:1 3:1 4:1 5:0.0 #chart-17, Tarantula, SimFix, combine: 15
0 qid:10017 1:0 2:1 3:1 4:1 5:0.0 #chart-17, Tarantula, TBar, combine: 16
0 qid:10018 1:1 2:1 3:1 4:1 5:0.0 #chart-18, DStar, ACS, combine: 1
0 qid:10018 1:1 2:1 3:1 4:1 5:0.0 #chart-18, DStar, Nopol, combine: 2
0 qid:10018 1:1 2:1 3:1 4:1 5:0.5 #chart-18, DStar, SimFix, combine: 3
0 qid:10018 1:1 2:1 3:1 4:1 5:0.5 #chart-18, DStar, TBar, combine: 4
0 qid:10018 1:0 2:1 3:1 4:1 5:0.0 #chart-18, Jaccard, ACS, combine: 5
0 qid:10018 1:0 2:1 3:1 4:1 5:0.0 #chart-18, Jaccard, Nopol, combine: 6
0 qid:10018 1:0 2:1 3:1 4:1 5:0.5 #chart-18, Jaccard, SimFix, combine: 7
0 qid:10018 1:0 2:1 3:1 4:1 5:0.5 #chart-18, Jaccard, TBar, combine: 8
0 qid:10018 1:0 2:1 3:1 4:1 5:0.0 #chart-18, Ochiai, ACS, combine: 9
0 qid:10018 1:0 2:1 3:1 4:1 5:0.0 #chart-18, Ochiai, Nopol, combine: 10
0 qid:10018 1:0 2:1 3:1 4:1 5:0.5 #chart-18, Ochiai, SimFix, combine: 11
0 qid:10018 1:0 2:1 3:1 4:1 5:0.5 #chart-18, Ochiai, TBar, combine: 12
0 qid:10018 1:0 2:0 3:1 4:1 5:0.0 #chart-18, Tarantula, ACS, combine: 13
0 qid:10018 1:0 2:0 3:1 4:1 5:0.0 #chart-18, Tarantula, Nopol, combine: 14
0 qid:10018 1:0 2:0 3:1 4:1 5:0.5 #chart-18, Tarantula, SimFix, combine: 15
0 qid:10018 1:0 2:0 3:1 4:1 5:0.5 #chart-18, Tarantula, TBar, combine: 16
0 qid:10019 1:1 2:1 3:1 4:1 5:0.0 #chart-19, DStar, ACS, combine: 1
0 qid:10019 1:1 2:1 3:1 4:1 5:0.0 #chart-19, DStar, Nopol, combine: 2
0 qid:10019 1:1 2:1 3:1 4:1 5:0.0 #chart-19, DStar, SimFix, combine: 3
0 qid:10019 1:1 2:1 3:1 4:1 5:0.5 #chart-19, DStar, TBar, combine: 4
0 qid:10019 1:1 2:1 3:1 4:1 5:0.0 #chart-19, Jaccard, ACS, combine: 5
0 qid:10019 1:1 2:1 3:1 4:1 5:0.0 #chart-19, Jaccard, Nopol, combine: 6
0 qid:10019 1:1 2:1 3:1 4:1 5:0.0 #chart-19, Jaccard, SimFix, combine: 7
0 qid:10019 1:1 2:1 3:1 4:1 5:0.5 #chart-19, Jaccard, TBar, combine: 8
0 qid:10019 1:1 2:1 3:1 4:1 5:0.0 #chart-19, Ochiai, ACS, combine: 9
0 qid:10019 1:1 2:1 3:1 4:1 5:0.0 #chart-19, Ochiai, Nopol, combine: 10
0 qid:10019 1:1 2:1 3:1 4:1 5:0.0 #chart-19, Ochiai, SimFix, combine: 11
0 qid:10019 1:1 2:1 3:1 4:1 5:0.5 #chart-19, Ochiai, TBar, combine: 12
0 qid:10019 1:1 2:1 3:1 4:1 5:0.0 #chart-19, Tarantula, ACS, combine: 13
0 qid:10019 1:1 2:1 3:1 4:1 5:0.0 #chart-19, Tarantula, Nopol, combine: 14
0 qid:10019 1:1 2:1 3:1 4:1 5:0.0 #chart-19, Tarantula, SimFix, combine: 15
0 qid:10019 1:1 2:1 3:1 4:1 5:0.5 #chart-19, Tarantula, TBar, combine: 16
0 qid:10020 1:0 2:0 3:1 4:1 5:0.0 #chart-20, DStar, ACS, combine: 1
0 qid:10020 1:0 2:0 3:1 4:1 5:0.0 #chart-20, DStar, Nopol, combine: 2
1 qid:10020 1:0 2:0 3:1 4:1 5:1.0 #chart-20, DStar, SimFix, combine: 3
1 qid:10020 1:0 2:0 3:1 4:1 5:1.0 #chart-20, DStar, TBar, combine: 4
0 qid:10020 1:1 2:1 3:1 4:1 5:0.0 #chart-20, Jaccard, ACS, combine: 5
0 qid:10020 1:1 2:1 3:1 4:1 5:0.0 #chart-20, Jaccard, Nopol, combine: 6
1 qid:10020 1:1 2:1 3:1 4:1 5:1.0 #chart-20, Jaccard, SimFix, combine: 7
1 qid:10020 1:1 2:1 3:1 4:1 5:1.0 #chart-20, Jaccard, TBar, combine: 8
0 qid:10020 1:0 2:0 3:1 4:1 5:0.0 #chart-20, Ochiai, ACS, combine: 9
0 qid:10020 1:0 2:0 3:1 4:1 5:0.0 #chart-20, Ochiai, Nopol, combine: 10
1 qid:10020 1:0 2:0 3:1 4:1 5:1.0 #chart-20, Ochiai, SimFix, combine: 11
1 qid:10020 1:0 2:0 3:1 4:1 5:1.0 #chart-20, Ochiai, TBar, combine: 12
0 qid:10020 1:0 2:0 3:1 4:1 5:0.0 #chart-20, Tarantula, ACS, combine: 13
0 qid:10020 1:0 2:0 3:1 4:1 5:0.0 #chart-20, Tarantula, Nopol, combine: 14
1 qid:10020 1:0 2:0 3:1 4:1 5:1.0 #chart-20, Tarantula, SimFix, combine: 15
1 qid:10020 1:0 2:0 3:1 4:1 5:1.0 #chart-20, Tarantula, TBar, combine: 16
0 qid:10025 1:0 2:0 3:0 4:0 5:0.0 #chart-25, DStar, ACS, combine: 1
0 qid:10025 1:0 2:0 3:0 4:0 5:0.5 #chart-25, DStar, Nopol, combine: 2
0 qid:10025 1:0 2:0 3:0 4:0 5:0.5 #chart-25, DStar, SimFix, combine: 3
0 qid:10025 1:0 2:0 3:0 4:0 5:0.5 #chart-25, DStar, TBar, combine: 4
0 qid:10025 1:0 2:0 3:0 4:0 5:0.0 #chart-25, Jaccard, ACS, combine: 5
0 qid:10025 1:0 2:0 3:0 4:0 5:0.5 #chart-25, Jaccard, Nopol, combine: 6
0 qid:10025 1:0 2:0 3:0 4:0 5:0.5 #chart-25, Jaccard, SimFix, combine: 7
0 qid:10025 1:0 2:0 3:0 4:0 5:0.5 #chart-25, Jaccard, TBar, combine: 8
0 qid:10025 1:0 2:0 3:0 4:0 5:0.0 #chart-25, Ochiai, ACS, combine: 9
0 qid:10025 1:0 2:0 3:0 4:0 5:0.5 #chart-25, Ochiai, Nopol, combine: 10
0 qid:10025 1:0 2:0 3:0 4:0 5:0.5 #chart-25, Ochiai, SimFix, combine: 11
0 qid:10025 1:0 2:0 3:0 4:0 5:0.5 #chart-25, Ochiai, TBar, combine: 12
0 qid:10025 1:0 2:0 3:0 4:0 5:0.0 #chart-25, Tarantula, ACS, combine: 13
0 qid:10025 1:0 2:0 3:0 4:0 5:0.5 #chart-25, Tarantula, Nopol, combine: 14
0 qid:10025 1:0 2:0 3:0 4:0 5:0.5 #chart-25, Tarantula, SimFix, combine: 15
0 qid:10025 1:0 2:0 3:0 4:0 5:0.5 #chart-25, Tarantula, TBar, combine: 16
0 qid:10026 1:0 2:0 3:0 4:0 5:0.0 #chart-26, DStar, ACS, combine: 1
0 qid:10026 1:0 2:0 3:0 4:0 5:0.5 #chart-26, DStar, Nopol, combine: 2
0 qid:10026 1:0 2:0 3:0 4:0 5:0.0 #chart-26, DStar, SimFix, combine: 3
1 qid:10026 1:0 2:0 3:0 4:0 5:1.0 #chart-26, DStar, TBar, combine: 4
0 qid:10026 1:0 2:0 3:0 4:0 5:0.0 #chart-26, Jaccard, ACS, combine: 5
0 qid:10026 1:0 2:0 3:0 4:0 5:0.5 #chart-26, Jaccard, Nopol, combine: 6
0 qid:10026 1:0 2:0 3:0 4:0 5:0.0 #chart-26, Jaccard, SimFix, combine: 7
1 qid:10026 1:0 2:0 3:0 4:0 5:1.0 #chart-26, Jaccard, TBar, combine: 8
0 qid:10026 1:0 2:0 3:0 4:0 5:0.0 #chart-26, Ochiai, ACS, combine: 9
0 qid:10026 1:0 2:0 3:0 4:0 5:0.5 #chart-26, Ochiai, Nopol, combine: 10
0 qid:10026 1:0 2:0 3:0 4:0 5:0.0 #chart-26, Ochiai, SimFix, combine: 11
1 qid:10026 1:0 2:0 3:0 4:0 5:1.0 #chart-26, Ochiai, TBar, combine: 12
